date,open,high,low,close,volume,suspicious_flag
2010-06-07,0.8166,0.8208,0.8083,0.8117,126063,
2010-06-08,0.8117,0.8285,0.8117,0.8237,143791,
2010-06-09,0.8237,0.8354,0.8191,0.8307,94087,
2010-06-10,0.8306,0.8508,0.827,0.8496,90534,
2010-06-11,0.849,0.8509,0.8426,0.8507,19054,
2010-06-14,0.8469,0.8575,0.83925,0.8485,83062,
2010-06-15,0.8486,0.857,0.8416,0.8548,83807,
2010-06-16,0.8548,0.8586,0.8491,0.8536,75409,
2010-06-17,0.8534,0.8603,0.8497,0.8582,86667,
2010-06-18,0.8582,0.8644,0.8565,0.8633,54468,
2010-06-21,0.8707,0.8772,0.8615,0.8692,83234,
2010-06-22,0.8692,0.875,0.8626,0.8629,100178,
2010-06-23,0.8629,0.8699,0.8579,0.8669,130915,
2010-06-24,0.867,0.869,0.8562,0.8595,91446,
2010-06-25,0.8595,0.868,0.8517,0.867,97466,
2010-06-28,0.8663,0.87,0.8613,0.8632,66608,
2010-06-29,0.8633,0.8652,0.8393,0.8425,126387,
2010-06-30,0.8426,0.8493,0.833,0.8344,122167,
2010-07-01,0.8346,0.8411,0.8247,0.8381,161780,
2010-07-02,0.838,0.8441,0.8332,0.8346,98088,
2010-07-05,0.8327,0.8399,0.8282,0.8288,19932,
2010-07-06,0.8287,0.8492,0.825,0.8459,107626,
2010-07-07,0.8458,0.8595,0.8382,0.8568,111554,
2010-07-08,0.8568,0.8725,0.8568,0.8699,107328,
2010-07-09,0.8698,0.872,0.8662,0.8712,71078,
2010-07-12,0.87,0.8707,0.8637,0.8703,61545,
2010-07-13,0.8701,0.88,0.8619,0.8767,97943,
2010-07-14,0.8766,0.8808,0.8722,0.8752,91961,
2010-07-15,0.8754,0.8789,0.8666,0.8751,140882,
2010-07-16,0.8751,0.8761,0.8622,0.863,105296,
2010-07-19,0.8578,0.8662,0.8577,0.8633,86764,
2010-07-20,0.8632,0.8788,0.8627,0.8784,107484,
2010-07-21,0.8784,0.8804,0.8707,0.872,93208,
2010-07-22,0.872,0.8899,0.8684,0.8893,111734,
2010-07-23,0.8892,0.8918,0.8842,0.8902,100171,
2010-07-26,0.8904,0.8984,0.8888,0.8955,71102,
2010-07-27,0.8955,0.9019,0.8948,0.8962,81029,
2010-07-28,0.8961,0.8975,0.8858,0.8898,92582,
2010-07-29,0.8897,0.8998,0.8871,0.8954,94876,
2010-07-30,0.8953,0.9023,0.8921,0.9003,102357,
2010-08-02,0.9031,0.9102,0.8989,0.908,67476,
2010-08-03,0.9079,0.9108,0.9026,0.9092,76576,
2010-08-04,0.9091,0.9142,0.9052,0.9118,85451,
2010-08-05,0.9117,0.9135,0.9077,0.9107,66469,
2010-08-06,0.9108,0.9183,0.9097,0.9152,102086,
2010-08-09,0.9136,0.9169,0.9114,0.9121,48292,
2010-08-10,0.912,0.9132,0.9023,0.9082,102027,
2010-08-11,0.9082,0.9105,0.8901,0.8938,118091,
2010-08-12,0.8938,0.8981,0.8883,0.894,106615,
2010-08-13,0.8939,0.9004,0.889,0.8896,83099,
2010-08-16,0.8894,0.8966,0.883,0.8925,98821,
2010-08-17,0.8926,0.9052,0.8917,0.9024,86783,
2010-08-18,0.9023,0.9035,0.8934,0.8936,95141,
2010-08-19,0.8935,0.8994,0.8863,0.8871,107105,
2010-08-20,0.8872,0.8916,0.8818,0.8916,93340,
2010-08-23,0.8862,0.8961,0.886,0.8874,82217,
2010-08-24,0.8874,0.891,0.8776,0.8809,115284,
2010-08-25,0.8809,0.8876,0.8743,0.8842,110254,
