date,open,high,low,close,volume,suspicious_flag
2010-06-07,1.4425,1.4564,1.4387,1.4475,129739,
2010-06-08,1.4475,1.453,1.4346,1.4444,149153,
2010-06-09,1.4446,1.4609,1.4381,1.4549,113333,
2010-06-10,1.455,1.4731,1.4508,1.4725,114022,
2010-06-11,1.4723,1.4761,1.4502,1.4702,41994,
2010-06-14,1.4616,1.4811,1.451,1.4735,110524,
2010-06-15,1.4734,1.484,1.4685,1.48,107413,
2010-06-16,1.48,1.4858,1.4708,1.4713,98513,
2010-06-17,1.4712,1.4842,1.4645,1.4809,102910,
2010-06-18,1.481,1.489,1.4773,1.4823,72067,
2010-06-21,1.4841,1.4937,1.474,1.4763,77173,
2010-06-22,1.4764,1.4861,1.4688,1.481,142054,
2010-06-23,1.4809,1.4973,1.4802,1.4968,127202,
2010-06-24,1.4969,1.5012,1.4915,1.4931,107563,
2010-06-25,1.4932,1.508,1.4855,1.5059,111649,
2010-06-28,1.5044,1.513,1.5017,1.5106,89411,
2010-06-29,1.5105,1.512,1.5012,1.5054,111392,
2010-06-30,1.5054,1.508,1.4935,1.4957,133713,
2010-07-01,1.4957,1.5197,1.4873,1.5164,179146,
2010-07-02,1.5164,1.5229,1.5146,1.5186,86446,
2010-07-05,1.5188,1.5199,1.509,1.51,19586,
2010-07-06,1.51,1.5227,1.5081,1.5155,83872,
2010-07-07,1.5156,1.5218,1.508,1.5181,89571,
2010-07-08,1.5182,1.5248,1.5099,1.5145,87809,
2010-07-09,1.5146,1.5203,1.5046,1.5058,80319,
2010-07-12,1.5073,1.5085,1.4946,1.5027,114457,
2010-07-13,1.5027,1.5199,1.4963,1.5194,131970,
2010-07-14,1.5192,1.5295,1.5155,1.5257,108836,
2010-07-15,1.5258,1.547,1.5233,1.5421,102158,
2010-07-16,1.542,1.5445,1.5275,1.5292,93984,
2010-07-19,1.5288,1.5349,1.5199,1.5217,79160,
2010-07-20,1.5216,1.5307,1.515,1.5288,100297,
2010-07-21,1.5288,1.5335,1.5122,1.5182,115807,
2010-07-22,1.5184,1.5294,1.5142,1.528,79395,
2010-07-23,1.528,1.5447,1.5253,1.5423,122415,
2010-07-26,1.5443,1.5517,1.5416,1.5476,73318,
2010-07-27,1.5477,1.5599,1.5438,1.5578,95320,
2010-07-28,1.5581,1.5635,1.5542,1.56,90529,
2010-07-29,1.56,1.566,1.5576,1.5598,81888,
2010-07-30,1.5598,1.5719,1.5548,1.5696,108165,
2010-08-02,1.5707,1.5904,1.5693,1.5885,116393,
2010-08-03,1.5886,1.5965,1.586,1.5937,91524,
2010-08-04,1.5938,1.5961,1.5853,1.5883,96868,
2010-08-05,1.5884,1.5922,1.5816,1.5875,83514,
2010-08-06,1.5873,1.5997,1.5835,1.5941,102820,
2010-08-09,1.5957,1.5993,1.588,1.5883,59841,
2010-08-10,1.5884,1.5907,1.5707,1.5812,132996,
2010-08-11,1.5814,1.5875,1.5621,1.5638,154778,
2010-08-12,1.5637,1.5711,1.5559,1.559,104984,
2010-08-13,1.5591,1.568,1.5564,1.5592,91039,
2010-08-16,1.5584,1.5701,1.5531,1.5645,95742,
2010-08-17,1.5644,1.5695,1.5549,1.557,117078,
2010-08-18,1.557,1.5688,1.5495,1.5556,119771,
2010-08-19,1.5556,1.5671,1.5506,1.5573,142398,
2010-08-20,1.5572,1.5594,1.546,1.554,92100,
2010-08-23,1.5549,1.5619,1.5484,1.5492,89241,
2010-08-24,1.5491,1.5531,1.5369,1.5404,124076,
2010-08-25,1.5405,1.5481,1.5386,1.5475,92520,
2010-08-26,1.5475,1.5597,1.5448,1.5519,110256,
2010-08-27,1.5519,1.5547,1.5441,1.5518,107373,
2010-08-30,1.5538,1.5577,1.5448,1.5472,60541,
2010-08-31,1.5472,1.5472,1.5325,1.534,119428,
2010-09-01,1.5341,1.5491,1.5331,1.5444,124372,
2010-09-02,1.5443,1.5449,1.5349,1.5393,86074,
