date,open,high,low,close,volume,suspicious_flag
2010-06-14,0.5455,0.5455,0.5455,0.5455,1,
2010-06-15,0.5495,0.5495,0.5495,0.5495,1,
2010-07-06,0.5548,0.5548,0.5548,0.5548,1,
2010-07-13,0.5637,0.5637,0.5637,0.5637,2,
2010-07-19,0.5563,0.5563,0.55625,0.55625,2,
2010-07-20,0.56,0.56,0.5595,0.5595,2,
2010-07-21,0.559,0.559,0.5588,0.5588,7,
2010-07-22,0.5622,0.5622,0.5622,0.5622,5,
2010-07-23,0.5625,0.564,0.5625,0.564,7,
2010-07-26,0.5617,0.5617,0.5617,0.5617,5,
2010-07-27,0.5624,0.5624,0.5624,0.5624,5,
2010-07-29,0.5632,0.5632,0.5632,0.5632,6,
2010-07-30,0.565,0.565,0.565,0.565,1,
2010-08-03,0.5661,0.5661,0.5661,0.5661,5,
2010-08-04,0.5659,0.5659,0.5655,0.5655,11,
2010-08-06,0.5662,0.5662,0.5662,0.5662,10,
2010-08-10,0.5666,0.5666,0.5666,0.5666,10,
2010-08-11,0.5637,0.5637,0.5637,0.5637,10,
2010-08-12,0.5631,0.5631,0.5631,0.5631,10,
2010-08-13,0.5635,0.5635,0.5635,0.5635,10,
2010-08-17,0.5698,0.5698,0.569,0.569,21,
2010-08-18,0.57,0.57,0.569,0.569,12,
2010-08-19,0.56915,0.56915,0.5665,0.569,275,
2010-08-20,0.5667,0.5667,0.5665,0.5665,50,
2010-08-23,0.5674,0.5674,0.5674,0.5674,10,
2010-08-24,0.5654,0.5654,0.5654,0.5654,38,
2010-08-25,0.56635,0.56635,0.56635,0.56635,12,
2010-08-26,0.56595,0.56595,0.56595,0.56595,27,
2010-08-27,0.56595,0.56595,0.56595,0.56595,11,
2010-08-30,0.5665,0.5665,0.5665,0.5665,1,
2010-09-01,0.5645,0.5645,0.5645,0.5645,23,
2010-09-07,0.5696,0.5696,0.5696,0.5696,5,
2010-09-10,0.573,0.573,0.573,0.573,1,
2010-09-15,0.574,0.574,0.5721,0.5721,2,
2010-09-17,0.5749,0.5749,0.5749,0.5749,11,
2010-09-20,0.5749,0.5762,0.5715,0.5715,87,
2010-09-21,0.57305,0.574,0.573,0.574,30,
2010-09-22,0.5735,0.5735,0.5716,0.5716,12,
2010-09-23,0.573,0.5745,0.5725,0.5745,102,
2010-09-24,0.57675,0.57675,0.5765,0.5765,11,
2010-09-27,0.578,0.578,0.577,0.577,4,
2010-09-28,0.5772,0.578,0.5772,0.578,16,
2010-09-30,0.585,0.585,0.583,0.5845,123,
2010-10-01,0.587,0.58975,0.587,0.5885,15,
2010-10-04,0.586,0.586,0.5856,0.5856,16,
2010-10-05,0.58385,0.5914,0.58385,0.5914,47,
2010-10-06,0.5917,0.5917,0.5875,0.5875,151,
2010-10-07,0.592,0.592,0.587,0.5875,46,
2010-10-08,0.585,0.5887,0.585,0.5887,47,
2010-10-11,0.5945,0.5948,0.59375,0.5941,8,
2010-10-13,0.5975,0.59855,0.597,0.59855,17,
2010-10-14,0.601,0.601,0.599,0.599,39,
2010-10-15,0.5991,0.5991,0.595,0.596,19,
2010-10-18,0.5959,0.5959,0.5946,0.5946,20,
2010-10-19,0.5855,0.58995,0.5855,0.5875,283,
2010-10-20,0.5925,0.594,0.5923,0.5923,34,
2010-10-21,0.587,0.587,0.58425,0.58425,311,
2010-10-22,0.588,0.588,0.5817,0.5817,45,
2010-10-25,0.5838,0.5845,0.5825,0.584,36,
2010-10-26,0.5835,0.5845,0.5824,0.5845,38,
2010-10-27,0.578,0.5799,0.578,0.578,12,
2010-10-28,0.5805,0.58105,0.5802,0.5802,76,
2010-10-29,0.583,0.5834,0.583,0.5834,102,
2010-11-01,0.5855,0.5855,0.5836,0.5836,93,
2010-11-03,0.5885,0.5885,0.5848,0.5872,34,
2010-11-04,0.592,0.5932,0.5914,0.5925,22,
2010-11-05,0.593,0.59365,0.5915,0.5915,30,
2010-11-08,0.5855,0.5855,0.5855,0.5855,50,
2010-11-10,0.5863,0.5863,0.5805,0.581,70,
2010-11-11,0.578,0.582,0.578,0.582,4,
2010-11-12,0.5797,0.5797,0.5797,0.5797,20,
2010-11-15,0.579,0.579,0.579,0.579,1,
2010-11-16,0.576,0.576,0.5726,0.5726,99,
2010-11-17,0.5738,0.5775,0.5735,0.5744,80,
2010-11-19,0.5806,0.5806,0.5806,0.5806,12,
2010-11-22,0.5794,0.5794,0.5794,0.5794,10,
2010-11-23,0.57945,0.5799,0.5745,0.575,263,
2010-11-26,0.5801,0.5801,0.5801,0.5801,12,
2010-11-29,0.57875,0.57875,0.57875,0.57875,30,
2010-11-30,0.5752,0.5752,0.5752,0.5752,7,
2010-12-01,0.5775,0.578,0.575,0.5752,31,
2010-12-02,0.5752,0.57825,0.5752,0.57825,10,
2010-12-03,0.57815,0.58155,0.57815,0.58155,3,
2010-12-06,0.5821,0.585,0.5821,0.585,15,
2010-12-09,0.5794,0.5794,0.5745,0.5745,27,
2010-12-10,0.5745,0.5745,0.5745,0.5745,2,
2010-12-13,0.5766,0.5801,0.576,0.5801,86,
2010-12-14,0.58,0.58,0.57985,0.57985,3,
2010-12-15,0.5805,0.5805,0.5771,0.5771,12,
2010-12-16,0.578,0.578,0.578,0.578,20,
2010-12-17,0.575,0.575,0.5745,0.5745,3,
2010-12-20,0.5788,0.5788,0.5755,0.5755,8,
2010-12-21,0.5795,0.581,0.5795,0.581,14,
2010-12-22,0.5805,0.5805,0.5805,0.5805,5,
2010-12-23,0.5796,0.581,0.5796,0.581,27,
2010-12-27,0.5835,0.584,0.58265,0.584,41,
2010-12-28,0.5861,0.5861,0.5845,0.5846,6,
2010-12-29,0.5858,0.5874,0.5858,0.5874,27,
2010-12-30,0.593,0.5932,0.5911,0.5932,16,
2011-01-03,0.599,0.60005,0.597,0.599,258,
2011-01-04,0.593,0.5971,0.5925,0.5971,75,
2011-01-05,0.59575,0.59575,0.594,0.594,3,
2011-01-06,0.587,0.587,0.587,0.587,1,
2011-01-07,0.588,0.588,0.587,0.587,31,
2011-01-10,0.5845,0.5848,0.5845,0.5848,2,
2011-01-11,0.586,0.587,0.586,0.587,20,
2011-01-12,0.59,0.59195,0.59,0.59195,31,
2011-01-13,0.5931,0.5931,0.5931,0.5931,9,
2011-01-18,0.59295,0.59295,0.5911,0.5911,39,
2011-01-19,0.594,0.594,0.5922,0.5922,8,
2011-01-21,0.59345,0.59345,0.59145,0.59145,12,
2011-01-24,0.5937,0.594,0.5934,0.594,12,
2011-01-25,0.59385,0.59385,0.5933,0.5933,13,
2011-01-26,0.59465,0.5957,0.594,0.594,52,
2011-01-27,0.5962,0.5962,0.5915,0.5918,12,
2011-01-28,0.5931,0.5931,0.59105,0.5912,12,
2011-01-31,0.5908,0.5944,0.5908,0.5944,16,
2011-02-01,0.5961,0.5996,0.59605,0.59605,26,
2011-02-02,0.59735,0.59735,0.596,0.596,21,
2011-02-03,0.5968,0.5968,0.59525,0.59525,14,
2011-02-04,0.5968,0.5974,0.5944,0.5944,63,
2011-02-07,0.59305,0.59305,0.593,0.593,16,
2011-02-08,0.5942,0.597,0.5942,0.597,19,
2011-02-10,0.5974,0.598,0.5965,0.598,257,
2011-02-11,0.59695,0.59935,0.59695,0.59935,293,
2011-02-14,0.5983,0.5988,0.5977,0.5978,118,
2011-02-15,0.59945,0.59945,0.59705,0.59705,19,
2011-02-16,0.598,0.598,0.5962,0.5962,4,
2011-02-17,0.5974,0.59995,0.5974,0.59995,40,
2011-02-18,0.599,0.5995,0.599,0.5995,12,
2011-02-24,0.5984,0.6,0.5964,0.5964,453,
2011-02-25,0.6003,0.60145,0.6003,0.6006,14,
2011-02-28,0.59415,0.59415,0.5878,0.59,27,
2011-03-01,0.593,0.5935,0.59,0.591,77,
2011-03-02,0.5928,0.5928,0.591,0.5915,16,
2011-03-04,0.596,0.597,0.59545,0.59545,43,
2011-03-08,0.5974,0.5974,0.5974,0.5974,1,
2011-03-09,0.59355,0.595,0.5928,0.5928,15,
2011-03-10,0.5915,0.5915,0.5903,0.5903,132,
2011-03-11,0.591,0.5915,0.5905,0.5905,21,
2011-03-14,0.5905,0.593,0.59,0.592,25,
