date,open,high,low,close,volume,suspicious_flag
2010-06-07,0.6655,0.669,0.6573,0.6596,7814,
2010-06-08,0.6596,0.6683,0.657,0.6642,8655,
2010-06-09,0.6643,0.6751,0.6613,0.6734,8738,
2010-06-10,0.6733,0.6878,0.6657,0.6847,7560,
2010-06-11,0.6846,0.6913,0.6804,0.691,3870,
2010-06-14,0.6885,0.6972,0.6834,0.6894,4834,
2010-06-15,0.6908,0.6947,0.6837,0.6939,5838,
2010-06-16,0.6934,0.6956,0.6885,0.6925,5296,
2010-06-17,0.6925,0.7001,0.6907,0.6993,5543,
2010-06-18,0.6992,0.7031,0.6975,0.7011,4770,
2010-06-21,0.7076,0.7111,0.7028,0.7048,5250,
2010-06-22,0.704,0.7071,0.6993,0.7003,5685,
2010-06-23,0.7004,0.712,0.6984,0.709,7119,
2010-06-24,0.7092,0.71,0.6997,0.7035,7142,
2010-06-25,0.7036,0.7118,0.6957,0.7106,5326,
2010-06-28,0.7089,0.7105,0.7008,0.7021,4866,
2010-06-29,0.7029,0.7051,0.6871,0.6886,10801,
2010-06-30,0.6886,0.6919,0.6811,0.682,9300,
2010-07-01,0.6823,0.689,0.6761,0.6874,11409,
2010-07-02,0.6875,0.694,0.6837,0.6848,6199,
2010-07-05,0.6826,0.6902,0.6816,0.6817,2644,
2010-07-06,0.6819,0.694,0.679,0.6902,7485,
2010-07-07,0.691,0.7017,0.685,0.6993,7816,
2010-07-08,0.6995,0.707,0.6995,0.7059,7325,
2010-07-09,0.7056,0.7083,0.7029,0.7076,6047,
2010-07-12,0.7061,0.7098,0.7025,0.7087,6133,
2010-07-13,0.7091,0.7174,0.7044,0.7152,10477,
2010-07-14,0.7152,0.7222,0.7126,0.7185,7868,
2010-07-15,0.7186,0.7273,0.7144,0.7198,7486,
2010-07-16,0.7194,0.7242,0.7066,0.7075,7129,
2010-07-19,0.7022,0.7083,0.6995,0.7031,6455,
2010-07-20,0.7029,0.7153,0.7029,0.7153,6392,
2010-07-21,0.7148,0.7166,0.7085,0.7088,5672,
2010-07-22,0.7093,0.7244,0.7071,0.7233,5718,
2010-07-23,0.7233,0.7264,0.7199,0.7249,4742,
2010-07-26,0.7241,0.7327,0.7223,0.73,4700,
2010-07-27,0.7302,0.7369,0.7284,0.7284,5650,
2010-07-28,0.7288,0.7311,0.7186,0.7203,5679,
2010-07-29,0.7205,0.7261,0.7181,0.7212,7068,
2010-07-30,0.7209,0.7245,0.7165,0.7231,6148,
2010-08-02,0.7257,0.7318,0.7254,0.7307,5163,
2010-08-03,0.7307,0.7332,0.7276,0.732,5376,
2010-08-04,0.7319,0.7336,0.7251,0.7267,6490,
2010-08-05,0.7267,0.733,0.7226,0.7267,5059,
2010-08-06,0.7268,0.7324,0.7252,0.7317,8416,
2010-08-09,0.7288,0.7312,0.7247,0.7266,3993,
2010-08-10,0.7265,0.727,0.7148,0.7199,11089,
2010-08-11,0.72,0.7233,0.7097,0.7112,7795,
2010-08-12,0.711,0.7143,0.7048,0.7105,9065,
2010-08-13,0.7106,0.7164,0.7033,0.7045,7656,
2010-08-16,0.7034,0.7089,0.6979,0.7035,8032,
2010-08-17,0.7032,0.7133,0.7032,0.71,7103,
2010-08-18,0.7104,0.7177,0.7086,0.7111,8869,
2010-08-19,0.7112,0.7142,0.7034,0.7042,8671,
2010-08-20,0.7036,0.7065,0.699,0.7059,7143,
2010-08-23,0.7051,0.7113,0.7032,0.7039,7493,
2010-08-24,0.7043,0.7068,0.6994,0.7016,7417,
2010-08-25,0.7016,0.7052,0.6937,0.701,9562,
2010-08-26,0.7001,0.7081,0.6977,0.7018,8738,
2010-08-27,0.7017,0.7134,0.7013,0.7105,8646,
2010-08-30,0.7111,0.7128,0.702,0.7023,4313,
2010-08-31,0.7024,0.7077,0.6958,0.6982,8724,
2010-09-01,0.6983,0.7126,0.6961,0.7096,7629,
2010-09-02,0.7096,0.7175,0.7093,0.713,6876,
2010-09-03,0.7129,0.7219,0.7129,0.7144,11631,
2010-09-06,0.719,0.7253,0.719,0.7212,6248,
2010-09-07,0.7215,0.724,0.7177,0.719,7764,
2010-09-08,0.7192,0.7237,0.7155,0.721,11728,
2010-09-09,0.7214,0.7286,0.7201,0.7245,7758,
2010-09-10,0.7243,0.73,0.723,0.7284,2438,
2010-09-13,0.7252,0.7292,0.72295,0.7248,4712,
2010-09-14,0.7246,0.7343,0.7215,0.7278,9347,
2010-09-15,0.7278,0.7307,0.7214,0.7235,6279,
2010-09-16,0.7236,0.7238,0.7166,0.7193,6755,
2010-09-17,0.7193,0.7283,0.7193,0.7206,5059,
2010-09-20,0.7208,0.7273,0.7205,0.7241,5146,
2010-09-21,0.7243,0.7307,0.7212,0.7306,6040,
2010-09-22,0.7305,0.7369,0.726,0.7279,8095,
