date,open,high,low,close,volume,suspicious_flag
2010-06-07,70.34,72.49,69.51,70.99,378985.0,
2010-06-08,70.99,72.68,70.77,72.37,381371.0,
2010-06-09,72.39,74.99,72.03,73.99,404640.0,
2010-06-10,73.98,76.3,73.77,75.58,384521.0,
2010-06-11,75.6,75.68,73.26,74.2,382363.0,
2010-06-14,74.64,76.08,74.13,74.83,285506.0,
2010-06-15,74.85,77.23,74.62,77.19,282290.0,
2010-06-16,77.18,78.15,76.05,77.26,296702.0,
2010-06-17,77.23,77.82,76.17,76.39,267777.0,
2010-06-18,76.38,77.53,75.56,77.35,139062.0,
2010-06-21,79.03,79.97,77.7,78.33,269256.0,
2010-06-22,78.33,78.95,77.27,77.52,274882.0,
2010-06-23,77.49,77.83,75.17,76.14,347166.0,
2010-06-24,76.13,76.79,75.29,76.51,247346.0,
2010-06-25,76.52,79.2,75.85,79.19,301003.0,
2010-06-28,78.88,79.42,77.71,78.17,199585.0,
2010-06-29,78.19,78.32,75.15,75.33,304426.0,
2010-06-30,75.38,76.83,74.35,75.34,336894.0,
2010-07-01,75.32,75.43,71.98,72.87,382778.0,
2010-07-02,72.87,73.38,71.54,72.27,235212.0,
2010-07-05,72.49,72.7,71.3,71.47,19374.0,
2010-07-06,71.47,73.94,71.09,72.34,276876.0,
2010-07-07,72.32,74.98,71.44,74.74,264273.0,
2010-07-08,74.72,76.0,74.38,75.78,297522.0,
2010-07-09,75.79,76.54,74.93,76.45,224745.0,
2010-07-12,76.24,76.43,74.52,75.06,266435.0,
2010-07-13,75.05,77.42,74.25,77.27,316012.0,
2010-07-14,77.25,78.18,76.36,76.62,317549.0,
2010-07-15,76.62,77.66,75.24,76.95,319761.0,
2010-07-16,76.97,76.98,75.19,75.8,206686.0,
2010-07-19,75.56,77.73,75.55,76.35,135024.0,
2010-07-20,76.43,77.57,75.65,77.3,29596.0,
2010-07-21,77.64,78.61,76.11,76.56,308712.0,
2010-07-22,76.56,79.51,76.16,79.25,345829.0,
2010-07-23,79.23,79.6,78.37,78.89,243441.0,
2010-07-26,78.85,79.35,77.98,78.95,208010.0,
2010-07-27,78.92,79.69,76.76,77.11,363254.0,
2010-07-28,77.12,77.77,75.88,76.98,297664.0,
2010-07-29,76.98,78.94,76.41,78.23,335104.0,
2010-07-30,78.22,79.1,76.73,78.99,271418.0,
2010-08-02,79.01,81.77,78.96,81.42,283506.0,
2010-08-03,81.41,82.7,81.1,82.26,276578.0,
2010-08-04,82.26,83.01,81.54,82.38,279121.0,
2010-08-05,82.39,82.48,81.5,82.08,217414.0,
2010-08-06,82.07,82.71,79.96,80.88,368413.0,
2010-08-09,80.86,81.81,80.71,81.56,234807.0,
2010-08-10,81.54,81.62,79.12,80.21,355126.0,
2010-08-11,80.2,80.38,77.22,77.56,374292.0,
2010-08-12,77.58,77.97,75.46,76.09,386492.0,
2010-08-13,76.11,76.83,74.94,75.67,253744.0,
2010-08-16,75.45,75.95,74.77,75.14,202461.0,
2010-08-17,75.13,76.67,75.07,75.64,320080.0,
2010-08-18,75.67,75.79,73.75,75.25,227196.0,
2010-08-19,75.26,76.1,73.96,74.41,89038.0,
2010-08-20,74.75,75.0,73.44,73.92,234070.0,
2010-08-23,73.83,74.48,72.67,72.8,237718.0,
2010-08-24,72.82,73.05,71.25,71.56,325264.0,
2010-08-25,71.56,73.03,70.69,72.75,327090.0,
2010-08-26,72.75,74.02,72.54,72.97,348387.0,
2010-08-27,72.94,75.59,72.02,75.57,454836.0,
2010-08-30,75.51,75.57,74.01,74.23,239025.0,
2010-08-31,74.24,74.75,71.53,71.78,447235.0,
2010-09-01,71.79,74.54,71.77,73.89,371127.0,
2010-09-02,73.87,75.18,73.09,74.83,319400.0,
2010-09-03,74.83,75.53,73.2,74.34,360833.0,
2010-09-06,74.33,74.51,73.69,74.03,23498.0,
2010-09-07,74.02,74.66,72.57,73.85,354314.0,
2010-09-08,73.81,75.42,73.36,75.13,327434.0,
2010-09-09,75.13,75.97,73.85,74.79,356998.0,
2010-09-10,74.79,76.73,74.61,76.39,374470.0,
2010-09-14,77.24,78.0,76.19,76.24,380251.0,
2010-09-15,76.34,76.61,74.61,75.76,324172.0,
2010-09-16,75.73,75.74,74.06,74.53,257604.0,
2010-09-17,74.56,75.29,72.75,73.56,178003.0,
2010-09-20,74.86,76.8,74.58,75.94,276942.0,
2010-09-21,75.93,76.42,74.65,74.8,300956.0,
2010-09-22,74.82,76.07,73.8,74.79,325968.0,
2010-09-23,74.83,75.63,73.58,74.77,284236.0,
2010-09-24,74.79,76.71,74.73,76.5,272057.0,
2010-09-27,76.8,77.21,75.44,76.21,269731.0,
2010-09-28,76.21,77.16,75.53,76.36,314350.0,
2010-09-29,76.35,78.16,75.55,77.8,369931.0,
2010-09-30,77.79,80.18,77.55,79.88,392896.0,
2010-10-01,79.87,81.79,79.84,81.73,336101.0,
2010-10-04,81.55,82.42,80.77,81.32,293888.0,
2010-10-05,81.33,82.99,81.15,82.65,318289.0,
2010-10-06,82.64,84.1,82.29,83.33,327538.0,
2010-10-07,83.34,84.45,80.95,81.44,416868.0,
2010-10-08,81.44,83.18,80.3,82.84,373728.0,
2010-10-11,83.25,83.5,81.79,81.92,199550.0,
2010-10-12,81.94,82.38,80.88,81.82,296106.0,
2010-10-13,81.84,83.5,81.72,83.41,279098.0,
2010-10-14,83.43,84.12,82.17,82.62,312227.0,
2010-10-15,82.63,83.4,80.75,81.48,306692.0,
2010-10-18,81.19,83.3,80.32,83.07,208223.0,
2010-10-19,83.16,83.2,79.25,79.36,123803.0,
2010-10-20,79.98,82.76,79.92,82.66,402389.0,
2010-10-21,82.66,82.68,80.09,80.84,344725.0,
2010-10-22,80.82,82.1,80.41,81.91,225252.0,
2010-10-25,82.04,83.37,81.39,82.17,309680.0,
2010-10-26,82.17,82.96,81.81,82.56,233503.0,
2010-10-27,82.56,82.69,80.48,82.25,341000.0,
2010-10-28,82.24,82.72,81.49,81.99,276270.0,
2010-10-29,81.98,82.18,80.56,81.45,289805.0,
2010-11-01,81.82,83.95,81.58,83.4,334776.0,
2010-11-02,83.4,84.57,83.0,84.47,261212.0,
2010-11-03,84.46,85.41,83.57,85.06,374433.0,
2010-11-04,85.08,86.88,85.01,86.67,287145.0,
