date,open,high,low,close,volume,suspicious_flag
2010-01-04,80.45,82.34,80.45,82.12,96295.0,
2010-01-05,82.23,82.64,81.62,82.41,95556.0,
2010-01-06,82.17,84.08,81.5,83.75,139178.0,
2010-01-07,83.81,83.93,82.81,83.19,112493.0,
2010-01-08,83.22,83.98,82.4,83.3,120793.0,
2010-01-11,83.37,84.45,82.44,83.01,130542.0,
2010-01-12,82.69,82.82,80.29,81.17,164315.0,
2010-01-13,80.46,81.01,78.8,80.04,216845.0,
2010-01-14,80.0,80.75,79.32,79.88,197449.0,
2010-01-15,79.7,79.75,78.09,78.37,190088.0,
2010-01-19,78.54,79.47,77.06,79.32,351108.0,
2010-01-20,79.17,79.36,77.13,77.74,303758.0,
2010-01-21,78.15,78.79,76.13,76.53,73163.0,
2010-01-22,76.18,76.95,74.37,74.92,93682.0,
2010-01-25,74.6,75.82,74.52,75.69,87651.0,
2010-01-26,75.7,75.73,74.27,75.15,60873.0,
2010-01-27,75.16,75.51,73.14,74.15,101291.0,
2010-01-28,74.24,74.92,73.4,74.07,67277.0,
2010-01-29,74.24,75.21,72.89,73.35,66262.0,
2010-02-01,73.23,75.44,72.96,74.91,63158.0,
2010-02-02,75.47,77.88,74.88,77.72,89994.0,
2010-02-03,77.47,78.54,76.98,77.43,120781.0,
2010-02-04,77.56,77.56,72.83,73.54,161942.0,
2010-02-05,73.43,74.27,69.8,71.52,198355.0,
2010-02-08,72.24,72.7,71.1,72.29,141625.0,
2010-02-09,72.07,74.57,71.72,74.2,168989.0,
2010-02-10,74.14,75.32,72.97,74.89,153593.0,
2010-02-11,75.1,76.13,73.8,75.72,221849.0,
2010-02-12,75.74,75.76,73.09,74.5,139389.0,
2010-02-16,74.39,77.83,74.37,77.42,164720.0,
2010-02-17,77.74,78.22,76.93,77.73,139976.0,
2010-02-18,77.73,79.65,76.71,79.42,228169.0,
2010-02-19,78.8,80.34,78.1,80.06,314632.0,
2010-02-22,80.3,80.78,79.65,80.31,238956.0,
2010-02-23,80.41,80.8,78.65,79.29,76246.0,
2010-02-24,79.59,80.76,78.66,80.38,88746.0,
2010-02-25,80.62,80.65,77.44,78.53,71581.0,
2010-02-26,78.75,80.38,78.24,80.01,104180.0,
2010-03-01,80.39,80.98,78.44,79.08,84974.0,
2010-03-02,79.24,81.32,78.67,80.06,75318.0,
2010-03-03,80.0,81.6,79.81,81.26,76361.0,
2010-03-04,81.32,81.47,80.14,80.63,102209.0,
2010-03-05,81.01,82.47,80.89,81.92,98684.0,
2010-03-08,82.27,82.82,81.22,82.31,119815.0,
2010-03-09,82.16,82.31,80.57,81.86,147722.0,
2010-03-10,81.61,83.36,81.14,82.43,181314.0,
2010-03-11,82.22,82.69,81.67,82.43,159699.0,
2010-03-12,82.45,83.47,80.89,81.54,131484.0,
2010-03-15,81.51,81.64,79.41,80.08,141848.0,
