date,open,high,low,close,volume,suspicious_flag
2010-06-07,109.275,109.4,108.025,108.175,2094,
2010-06-08,108.175,109.325,108.175,109.05,1382,
2010-06-09,109.1,109.875,108.9,109.475,1534,
2010-06-10,109.4,111.0,108.8,110.425,1995,
2010-06-11,110.6,111.25,110.0,110.175,1331,
2010-06-14,110.15,110.875,110.15,110.8,1229,
2010-06-15,110.8,111.35,110.375,111.025,1880,
2010-06-16,111.25,111.45,110.4,110.65,1696,
2010-06-17,110.725,110.9,110.125,110.125,1260,
2010-06-18,110.3,110.475,109.95,110.025,1581,
2010-06-21,110.175,112.4,110.175,112.4,1975,
2010-06-22,112.4,112.975,111.425,111.55,2430,
2010-06-23,111.7,112.475,111.425,111.825,833,
2010-06-24,112.1,112.875,111.8,112.875,1148,
2010-06-25,112.85,113.5,112.725,113.3,1416,
2010-06-28,113.325,114.35,113.3,114.1,1669,
2010-06-29,114.1,114.325,112.5,113.0,2016,
2010-06-30,113.0,113.8,112.025,112.75,2385,
2010-07-01,112.8,113.2,112.35,112.75,1983,
2010-07-02,112.875,113.675,112.6,113.1,1384,
2010-07-05,113.0,113.2,113.0,113.2,4,
2010-07-06,113.2,113.75,112.7,113.65,1362,
2010-07-07,113.525,113.875,113.025,113.65,1824,
2010-07-08,113.875,114.0,113.3,113.575,2171,
2010-07-09,113.6,114.0,113.1,113.35,1848,
2010-07-12,113.4,113.425,112.45,112.65,2329,
2010-07-13,112.6,113.95,112.55,113.95,1831,
2010-07-14,113.95,114.125,113.3,113.925,2283,
2010-07-15,113.975,114.725,113.15,113.525,1689,
2010-07-16,113.575,113.65,112.85,112.975,1434,
2010-07-19,113.25,114.45,113.25,114.4,2218,
2010-07-20,114.375,114.7,114.05,114.45,1210,
2010-07-21,114.55,114.8,113.9,114.45,1127,
2010-07-22,114.5,115.0,114.25,114.7,1226,
2010-07-23,114.9,115.35,114.675,115.2,832,
2010-07-26,115.975,115.975,114.875,114.9,1704,
2010-07-27,114.9,115.075,114.4,114.6,1240,
2010-07-28,114.6,114.8,114.0,114.45,1753,
2010-07-29,114.225,114.675,113.35,113.5,2200,
2010-07-30,113.7,113.775,113.1,113.775,1284,
2010-08-02,114.475,114.85,113.675,113.85,1950,
2010-08-03,113.8,114.2,113.5,113.7,922,
2010-08-04,113.675,114.95,113.675,114.725,1582,
2010-08-05,114.15,114.175,112.425,112.9,1623,
2010-08-06,112.9,113.025,112.25,112.3,1444,
2010-08-09,113.0,113.625,112.6,113.625,2181,
2010-08-10,113.525,113.525,112.65,113.0,1473,
2010-08-11,113.0,113.45,111.925,113.125,2465,
2010-08-12,112.7,112.7,111.625,111.9,1569,
2010-08-13,112.125,112.325,111.4,111.7,1567,
2010-08-16,111.575,113.675,111.575,113.4,1300,
2010-08-17,113.4,114.0,113.075,113.85,1463,
2010-08-18,113.825,115.4,113.725,115.4,1854,
2010-08-19,115.35,116.875,115.15,116.35,2950,
2010-08-20,116.35,117.6,116.125,117.3,2836,
2010-08-23,117.5,118.1,117.125,117.7,1897,
2010-08-24,117.675,117.9,116.725,116.725,1787,
2010-08-25,115.975,116.875,115.625,116.525,784,
2010-08-26,117.275,117.7,116.9,116.9,1433,
2010-08-27,116.9,117.575,116.55,117.05,1534,
2010-08-30,117.05,117.15,115.7,116.25,1687,
2010-08-31,116.05,116.65,114.9,114.95,2260,
2010-09-01,114.95,115.6,114.55,114.7,1895,
2010-09-02,114.825,115.925,114.55,115.5,1490,
2010-09-03,115.5,115.875,114.75,115.1,1711,
2010-09-06,115.1,115.3,115.1,115.1,3,
2010-09-07,115.0,115.3,112.4,112.7,3463,
2010-09-08,112.8,113.1,111.6,112.85,4163,
2010-09-09,112.775,112.95,111.575,112.1,2763,
2010-09-10,112.0,112.6,111.4,111.8,2985,
2010-09-13,111.9,112.875,111.85,112.075,1800,
2010-09-14,112.25,112.55,111.55,112.125,2657,
2010-09-15,112.0,112.175,110.5,111.5,2217,
2010-09-16,111.625,112.65,111.15,112.5,1809,
2010-09-17,112.35,112.6,111.8,112.0,1196,
2010-09-20,111.525,111.525,110.05,111.05,1802,
2010-09-21,110.925,111.475,110.1,110.225,1716,
2010-09-22,110.475,110.475,108.775,109.45,1614,
2010-09-23,110.0,110.45,109.5,110.0,1049,
2010-09-24,109.9,110.075,108.85,108.975,1420,
2010-09-27,109.0,110.575,108.25,110.45,2159,
2010-09-28,110.375,110.975,110.025,110.85,2864,
2010-09-29,110.975,110.975,109.675,109.7,1471,
2010-09-30,109.625,112.275,109.525,112.175,3122,
2010-10-01,112.1,112.875,111.95,112.525,2122,
2010-10-04,112.275,112.275,110.6,110.875,2390,
2010-10-05,110.75,111.15,109.475,109.6,2227,
2010-10-06,109.7,109.85,109.275,109.8,1936,
2010-10-07,109.425,109.675,108.65,109.2,2230,
2010-10-08,109.3,109.425,106.125,107.425,3059,
2010-10-11,107.6,107.6,106.15,107.325,2908,
2010-10-12,107.425,108.975,106.675,107.35,2999,
2010-10-13,107.3,108.275,106.6,108.15,2449,
2010-10-14,108.0,109.4,107.3,108.95,1843,
2010-10-15,108.95,110.35,108.85,109.375,2493,
2010-10-18,109.4,109.85,108.875,109.725,1373,
2010-10-19,109.8,111.175,108.925,111.05,2165,
2010-10-20,111.075,111.075,110.2,110.375,1269,
2010-10-21,110.55,112.325,110.45,112.075,1851,
2010-10-22,111.85,112.65,111.85,112.65,1287,
2010-10-25,112.45,112.45,111.425,111.9,1236,
2010-10-26,112.0,112.15,111.55,111.85,861,
2010-10-27,111.8,112.475,111.65,111.7,1733,
2010-10-28,111.7,112.325,111.1,111.25,1985,
2010-10-29,111.2,111.45,110.425,110.8,1105,
2010-11-01,110.325,111.375,110.1,110.85,1299,
2010-11-02,111.15,112.25,110.625,111.85,1398,
2010-11-03,111.85,112.1,110.6,110.8,1399,
2010-11-04,110.925,111.1,109.85,110.975,1376,
2010-11-05,110.625,110.95,110.1,110.925,1313,
2010-11-08,110.75,111.8,110.45,111.625,982,
2010-11-09,111.9,113.6,110.625,113.075,3309,
2010-11-10,113.125,115.725,113.125,115.05,3074,
2010-11-11,115.1,115.275,114.5,114.925,1778,
2010-11-12,115.1,115.6,114.075,114.25,1992,
2010-11-15,114.45,115.25,114.45,115.025,1691,
2010-11-16,115.175,115.25,113.9,114.7,1845,
2010-11-17,114.675,115.15,114.3,114.85,1302,
2010-11-18,114.7,116.35,114.7,115.725,1902,
2010-11-19,115.85,117.6,115.375,117.3,2217,
2010-11-22,117.375,117.95,116.85,117.4,1497,
2010-11-23,117.2,118.125,117.125,117.975,1790,
2010-11-24,118.075,118.7,118.0,118.05,1910,
2010-11-25,118.275,118.275,118.275,118.275,1,
2010-11-26,118.275,119.175,118.2,118.95,1268,
2010-11-29,118.975,119.175,118.025,118.05,1346,
2010-11-30,118.05,120.175,117.275,119.425,3666,
2010-12-01,119.45,119.625,118.025,118.375,2612,
2010-12-02,118.225,119.0,117.85,118.825,1783,
2010-12-03,118.675,119.25,118.375,119.1,1266,
2010-12-06,118.95,119.125,118.525,118.625,1303,
2010-12-07,118.675,119.0,116.875,117.5,2948,
2010-12-08,117.4,118.4,116.9,117.85,1811,
2010-12-09,118.0,118.6,117.575,118.0,1206,
2010-12-10,118.05,118.325,117.8,118.15,1183,
2010-12-13,118.325,119.5,118.325,119.2,1899,
2010-12-14,119.0,119.25,117.75,118.25,2864,
2010-12-15,118.15,118.425,117.275,117.65,1198,
2010-12-16,117.6,119.05,117.5,118.825,1715,
2010-12-17,119.425,120.0,119.225,119.925,1584,
2010-12-20,119.95,122.25,119.475,121.925,2908,
2010-12-21,122.1,123.375,121.75,122.75,2412,
2010-12-22,122.925,124.15,122.125,123.45,2358,
2010-12-23,123.575,124.1,123.25,123.7,1583,
2010-12-27,123.6,123.825,122.875,123.425,1553,
2010-12-28,123.425,124.55,123.325,123.475,1481,
2010-12-29,123.45,124.6,123.375,124.6,1594,
2010-12-30,124.45,124.95,122.725,123.5,2062,
2010-12-31,123.125,124.3,122.875,123.975,858,
2011-01-03,124.475,124.65,122.875,122.875,1728,
2011-01-04,122.9,123.025,122.35,122.65,1918,
2011-01-05,122.6,122.85,122.0,122.7,1857,
2011-01-06,122.675,123.825,122.6,123.3,1859,
2011-01-07,123.2,123.4,122.125,122.65,1969,
2011-01-10,122.8,124.0,122.75,123.5,1514,
2011-01-11,123.6,125.725,123.525,125.6,3078,
2011-01-12,125.5,126.525,125.075,126.325,2387,
2011-01-13,126.325,127.25,125.375,126.675,2478,
2011-01-14,126.7,127.625,126.4,127.475,1924,
2011-01-17,127.625,127.9,127.525,127.85,45,
2011-01-18,127.8,130.025,127.525,128.15,3552,
2011-01-19,128.025,128.275,127.025,127.175,2181,
2011-01-20,127.15,127.5,126.1,126.45,2457,
2011-01-21,126.5,126.7,125.525,125.9,1816,
2011-01-24,125.7,126.0,125.125,125.325,1771,
2011-01-25,125.325,125.725,124.525,125.1,2019,
2011-01-26,124.975,126.275,124.975,126.1,2647,
2011-01-27,126.1,126.675,125.25,125.625,2800,
2011-01-28,125.55,126.775,125.375,126.725,2191,
2011-01-31,126.6,128.575,126.6,128.0,2567,
2011-02-01,128.0,128.125,127.05,127.575,1845,
2011-02-02,127.65,128.35,124.65,125.775,3203,
2011-02-03,125.425,125.925,124.6,125.475,2472,
2011-02-04,125.4,125.65,124.775,125.225,1590,
2011-02-07,124.75,125.775,124.075,124.1,2142,
2011-02-08,124.1,125.15,124.0,124.4,2693,
2011-02-09,124.4,124.975,122.9,123.2,4774,
2011-02-10,123.25,125.4,122.775,124.65,4670,
2011-02-11,124.75,126.25,124.45,126.25,2702,
2011-02-14,126.25,128.575,126.15,128.375,3078,
2011-02-15,128.2,129.5,128.1,128.975,2070,
2011-02-16,129.1,130.95,128.875,130.75,2322,
2011-02-17,130.75,131.1,129.75,130.8,2126,
2011-02-18,130.775,131.0,129.45,130.225,1371,
2011-02-21,130.075,130.6,130.075,130.275,42,
2011-02-22,130.025,130.225,128.925,129.4,2630,
2011-02-23,129.65,130.425,127.625,129.1,2279,
2011-02-24,129.1,129.75,128.525,129.475,1913,
2011-02-25,129.575,130.1,129.2,129.925,1976,
2011-02-28,130.0,131.9,129.225,130.075,3128,
2011-03-01,130.1,130.35,128.125,128.45,3142,
2011-03-02,128.875,130.125,128.0,130.05,2083,
2011-03-03,129.775,130.75,129.15,130.4,2114,
2011-03-04,130.825,130.825,129.05,129.9,1922,
2011-03-07,129.75,130.225,129.65,130.225,1002,
2011-03-08,129.85,131.4,129.85,131.4,1417,
2011-03-09,133.45,135.25,133.3,134.725,2110,
2011-03-10,134.8,135.075,133.525,134.2,1966,
2011-03-11,134.35,135.0,133.075,134.875,2241,
2011-03-14,134.5,134.6,133.2,133.425,1788,
