date,open,high,low,close,volume,suspicious_flag
2010-06-07,79.725,79.725,77.525,77.975,17165,
2010-06-08,77.9,78.525,77.825,78.35,10971,
2010-06-09,78.35,79.4,78.1,78.175,13914,
2010-06-10,78.2,78.7,77.425,77.875,14199,
2010-06-11,78.0,79.0,77.775,78.825,10331,
2010-06-14,78.95,80.7,78.9,79.725,10362,
2010-06-15,79.7,80.35,79.0,80.325,8597,
2010-06-16,80.325,81.05,79.975,80.575,8059,
2010-06-17,80.65,81.0,80.1,80.825,6216,
2010-06-18,80.8,80.975,80.25,80.725,4145,
2010-06-21,83.1,85.075,83.1,84.8,10704,
2010-06-22,84.975,85.1,83.95,84.35,8639,
2010-06-23,84.5,84.9,83.725,83.975,7278,
2010-06-24,84.125,84.65,83.275,83.425,10125,
2010-06-25,83.6,84.325,83.275,84.175,11801,
2010-06-28,84.35,84.35,81.875,82.0,14181,
2010-06-29,82.0,82.075,80.65,80.9,11568,
2010-06-30,80.9,83.225,80.725,81.65,13968,
2010-07-01,81.65,82.6,80.7,81.925,11641,
2010-07-02,81.9,82.05,80.0,80.25,9783,
2010-07-05,80.1,80.45,80.1,80.45,183,
2010-07-06,80.4,80.95,80.2,80.35,10228,
2010-07-07,80.425,81.3,80.05,80.825,11596,
2010-07-08,80.825,81.45,80.5,81.35,10672,
2010-07-09,81.45,81.5,79.875,79.9,13340,
2010-07-12,80.0,80.2,79.3,79.55,12998,
2010-07-13,79.65,79.975,79.1,79.225,10486,
2010-07-14,79.2,81.65,79.025,80.9,19786,
2010-07-15,80.825,81.45,80.35,81.225,9511,
2010-07-16,81.1,82.175,80.825,81.75,9641,
2010-07-19,81.875,82.625,81.4,81.925,8612,
2010-07-20,81.9,82.175,79.475,80.675,14149,
2010-07-21,80.625,81.9,80.0,81.825,10333,
2010-07-22,81.825,83.05,81.6,82.975,9997,
2010-07-23,82.975,83.325,82.5,83.2,4741,
2010-07-26,77.1,77.225,75.35,75.8,9013,
2010-07-27,75.825,76.5,75.75,76.1,8279,
2010-07-28,76.1,77.475,75.875,77.4,9098,
2010-07-29,77.45,78.425,77.35,77.65,13151,
2010-07-30,84.375,85.775,84.225,85.625,4558,
2010-08-02,79.45,80.1,78.775,79.825,13897,
2010-08-03,79.8,80.025,78.775,79.125,10516,
2010-08-04,79.1,79.5,78.475,78.55,11794,
2010-08-05,78.55,78.8,75.075,75.35,16938,
2010-08-06,75.3,75.35,74.075,74.075,13156,
2010-08-09,73.825,74.475,73.25,73.925,14158,
2010-08-10,73.925,74.325,73.6,74.0,9105,
2010-08-11,74.075,74.325,73.25,73.8,10150,
2010-08-12,73.8,75.35,73.7,75.3,9616,
2010-08-13,75.225,75.625,74.125,74.85,10076,
2010-08-16,74.95,75.475,74.325,74.7,9798,
2010-08-17,74.75,76.1,74.55,75.925,10744,
2010-08-18,75.925,78.775,75.725,78.3,21803,
2010-08-19,78.325,79.35,77.5,77.6,15178,
2010-08-20,77.6,77.9,76.8,77.4,9411,
2010-08-23,77.8,78.7,77.5,78.125,9983,
2010-08-24,78.225,78.425,76.575,77.55,11631,
2010-08-25,77.575,78.45,76.65,76.85,12161,
2010-08-26,76.85,77.475,75.25,75.4,11212,
2010-08-27,75.45,75.525,74.725,75.05,11052,
2010-08-30,75.0,75.675,74.8,75.05,6743,
2010-08-31,75.075,76.4,74.6,74.825,15503,
2010-09-01,74.8,75.225,74.1,75.05,10450,
2010-09-02,75.025,77.025,74.95,76.9,14321,
2010-09-03,77.0,77.65,76.75,77.2,11846,
2010-09-06,77.2,77.4,76.6,77.0,110,
2010-09-07,77.025,77.325,75.375,75.7,14815,
