date,open,high,low,close,volume,suspicious_flag
2010-06-07,1.9362,1.9869,1.923,1.9558,33306,
2010-06-08,1.955,1.9835,1.95,1.9653,36926,
2010-06-09,1.9662,2.022,1.9541,2.0,38023,
2010-06-10,2.0019,2.0534,1.9944,2.0328,41028,
2010-06-11,2.0325,2.0413,1.9929,2.0181,38458,
2010-06-14,2.0224,2.0609,2.005,2.015,30651,
2010-06-15,2.0166,2.08,2.0089,2.071,33659,
2010-06-16,2.075,2.1201,2.0595,2.1094,40181,
2010-06-17,2.11,2.151,2.1,2.1471,46704,
2010-06-18,2.1455,2.15,2.1139,2.135,33698,
2010-06-21,2.15,2.1725,2.125,2.1358,23822,
2010-06-22,2.1424,2.1475,2.1054,2.11,25606,
2010-06-23,2.1235,2.1368,2.0679,2.0773,37970,
2010-06-24,2.078,2.0918,2.055,2.0795,36489,
2010-06-25,2.0778,2.14,2.06,2.1371,46884,
2010-06-28,2.13,2.14,2.1034,2.1175,34031,
2010-06-29,2.1173,2.1186,2.03,2.032,44171,
2010-06-30,2.032,2.0635,1.99,2.009,52795,
2010-07-01,2.0142,2.0142,1.92,1.9385,55997,
2010-07-02,1.9376,1.9525,1.9046,1.9204,34325,
2010-07-05,1.922,1.931,1.8977,1.9072,2407,
2010-07-06,1.9036,1.97,1.8968,1.9306,36339,
2010-07-07,1.928,1.9965,1.9115,1.9892,38743,
2010-07-08,1.9924,2.035,1.9845,2.0153,41738,
2010-07-09,2.015,2.045,2.0,2.0362,32516,
2010-07-12,2.0322,2.0362,1.985,1.995,29204,
2010-07-13,1.9954,2.06,1.9759,2.0488,37435,
2010-07-14,2.0489,2.065,2.0248,2.0272,33430,
2010-07-15,2.0264,2.0515,1.99,2.03,36517,
2010-07-16,2.0266,2.0336,1.994,2.01,25269,
2010-07-19,2.0067,2.065,2.0036,2.0107,32955,
2010-07-20,2.0132,2.0372,1.9952,2.0295,25029,
2010-07-21,2.0285,2.0487,1.9842,1.9935,25140,
2010-07-22,2.0199,2.095,2.0099,2.0869,40942,
2010-07-23,2.0872,2.1014,2.065,2.077,31387,
2010-07-26,2.074,2.0886,2.055,2.07,28252,
2010-07-27,2.07,2.0908,2.015,2.0225,44660,
2010-07-28,2.0253,2.04,2.0045,2.028,40675,
2010-07-29,2.028,2.085,2.015,2.065,46876,
2010-07-30,2.0636,2.091,2.03,2.0878,46355,
2010-08-02,2.0907,2.17,2.09,2.1578,47494,
2010-08-03,2.1581,2.205,2.155,2.1935,44888,
2010-08-04,2.1921,2.21,2.18,2.2007,43420,
2010-08-05,2.2007,2.206,2.18,2.193,39643,
2010-08-06,2.192,2.205,2.1324,2.1517,45814,
2010-08-09,2.1536,2.175,2.145,2.16,33662,
2010-08-10,2.1605,2.1616,2.095,2.126,47143,
2010-08-11,2.126,2.13,2.0575,2.0628,46670,
2010-08-12,2.063,2.0717,1.995,2.0093,60096,
2010-08-13,2.007,2.03,1.9875,2.005,33714,
2010-08-16,1.9989,2.0134,1.98,1.989,29826,
2010-08-17,1.9877,2.04,1.9864,2.0239,34439,
2010-08-18,2.025,2.035,1.985,2.0245,36908,
2010-08-19,2.0225,2.0419,1.9897,2.0053,31063,
2010-08-20,2.0035,2.0119,1.9682,1.9747,22051,
2010-08-23,1.994,2.0103,1.97,1.9744,37669,
2010-08-24,1.9744,1.9798,1.9486,1.9537,39884,
2010-08-25,1.9537,1.9955,1.94,1.9915,45645,
2010-08-26,1.9917,2.04,1.9828,2.0157,48976,
2010-08-27,2.0166,2.0679,1.9994,2.0679,52225,
2010-08-30,2.0659,2.0659,2.026,2.0336,42198,
2010-08-31,2.0323,2.0504,1.9846,1.9916,64190,
2010-09-01,1.9936,2.06,1.9919,2.0397,58146,
2010-09-02,2.0397,2.065,2.015,2.056,46315,
2010-09-03,2.0552,2.0719,2.0138,2.0516,49507,
2010-09-06,2.0527,2.0656,2.0478,2.051,3010,
2010-09-07,2.0536,2.1,2.0265,2.0647,49339,
2010-09-08,2.0658,2.101,2.0541,2.088,40335,
2010-09-09,2.0875,2.1067,2.0581,2.071,38162,
