date,open,high,low,close,volume,suspicious_flag
2013-12-16,672.0,672.5,664.75,665.25,9134,
2013-12-17,665.5,668.75,659.25,659.25,7828,
2013-12-18,660.25,660.25,653.0,654.0,13580,
2013-12-19,655.75,661.75,651.75,652.0,10103,
2013-12-20,652.75,659.75,651.0,656.75,6553,
2013-12-23,656.5,658.5,648.0,648.25,4902,
2013-12-24,648.5,650.5,644.75,646.25,3194,
2013-12-26,646.5,647.0,641.0,643.75,3481,
2013-12-27,646.25,647.5,638.5,643.0,5561,
2013-12-30,642.0,644.25,635.0,635.0,6928,
2013-12-31,635.75,643.0,632.75,640.75,7954,
2014-01-02,638.5,639.75,630.25,630.75,7219,
2014-01-03,631.25,644.0,630.5,643.5,12275,
2014-01-06,644.5,650.75,643.0,644.5,8739,
2014-01-07,645.0,650.5,641.5,645.0,10030,
2014-01-08,645.25,651.0,635.0,636.0,14770,
2014-01-09,636.25,640.75,630.75,639.0,13910,
2014-01-10,639.0,649.75,624.5,626.0,18172,
2014-01-13,627.75,631.5,618.25,618.75,15162,
2014-01-14,619.0,633.5,617.0,631.0,9686,
2014-01-15,631.5,633.5,619.5,619.5,7385,
2014-01-16,620.0,631.0,619.75,629.25,8170,
2014-01-17,629.0,630.5,621.75,622.25,7756,
2014-01-21,624.75,626.5,620.5,620.75,5567,
2014-01-22,622.25,628.5,622.25,625.25,7461,
2014-01-23,626.5,642.75,625.0,631.75,11636,
2014-01-24,632.25,635.5,625.75,627.5,8576,
2014-01-27,628.0,634.75,622.0,623.0,8739,
2014-01-28,622.5,627.0,621.0,622.25,5971,
2014-01-29,622.0,622.25,607.75,608.75,11833,
2014-01-30,609.75,615.0,608.0,611.0,7798,
2014-01-31,612.0,617.25,609.25,615.0,8834,
2014-02-03,614.25,625.0,612.5,624.25,10982,
2014-02-04,624.25,648.0,624.25,647.75,15520,
2014-02-05,646.5,653.25,642.0,651.0,13676,
2014-02-06,650.25,657.25,647.5,647.5,18442,
2014-02-07,649.5,655.5,639.25,649.5,16309,
2014-02-10,646.75,666.75,644.0,664.25,20317,
2014-02-11,663.5,669.75,660.25,664.0,18940,
2014-02-12,664.5,671.5,659.25,662.75,18442,
2014-02-13,663.0,673.75,661.0,671.25,14271,
2014-02-14,671.75,679.5,670.5,672.75,12295,
2014-02-18,675.25,688.5,674.0,686.25,9605,
2014-02-19,685.75,693.5,684.75,693.25,9686,
2014-02-20,681.0,684.5,677.75,683.75,13458,
2014-02-21,683.0,685.5,674.75,675.75,11220,
2014-02-24,671.0,684.75,669.75,684.5,12234,
2014-02-25,681.5,691.75,674.0,691.0,18351,
2014-02-26,690.0,690.5,678.5,678.5,11599,
2014-02-27,678.0,680.5,664.75,666.0,17143,
2014-02-28,665.5,679.25,664.75,671.25,9757,
2014-03-03,683.5,720.25,676.25,702.75,20105,
2014-03-04,700.0,712.5,691.5,709.75,9127,
2014-03-05,708.0,711.75,702.5,708.25,6672,
2014-03-06,708.5,716.5,704.25,714.0,6891,
2014-03-07,713.0,725.5,710.5,721.25,10942,
2014-03-10,721.0,725.0,709.0,709.0,7642,
2014-03-11,710.0,738.0,707.0,727.0,12406,
2014-03-12,727.75,749.5,722.0,746.25,12589,
2014-03-13,746.0,759.5,734.0,734.5,9443,
2014-03-14,734.75,754.5,732.0,751.25,8519,
2014-03-17,750.5,759.0,741.0,743.5,7467,
2014-03-18,743.5,764.0,743.0,762.75,8471,
2014-03-19,762.75,791.75,759.0,788.75,11934,
2014-03-20,787.75,799.0,770.5,785.0,12786,
2014-03-21,776.0,778.25,763.75,765.0,9318,
2014-03-24,766.5,792.75,763.0,789.0,7633,
2014-03-25,789.75,792.25,783.25,791.5,8996,
2014-03-26,791.5,794.0,770.25,773.25,10887,
2014-03-27,772.0,788.5,764.75,784.25,6913,
2014-03-28,782.25,782.25,762.75,763.25,10517,
2014-03-31,765.75,768.75,743.0,764.0,11121,
2014-04-01,762.25,765.25,751.0,753.5,9694,
2014-04-02,755.75,756.75,734.5,737.25,8487,
2014-04-03,739.0,746.0,733.75,742.5,8410,
2014-04-04,742.75,744.75,724.25,734.5,9408,
2014-04-07,734.75,743.75,730.25,739.25,14329,
2014-04-08,739.5,747.75,732.0,740.75,10872,
2014-04-09,742.25,751.5,730.0,732.25,16174,
2014-04-10,733.0,735.25,719.75,722.5,13266,
2014-04-11,732.75,733.5,723.25,724.5,15462,
2014-04-14,725.5,750.25,724.25,741.5,13465,
2014-04-15,741.5,766.5,736.0,765.0,11292,
2014-04-16,770.75,780.25,755.25,760.5,11411,
2014-04-17,759.75,778.5,758.5,764.25,10698,
2014-04-21,759.0,759.0,729.75,735.0,7500,
2014-04-22,741.5,750.75,736.75,745.5,13641,
2014-04-23,746.5,754.25,738.75,750.75,10603,
2014-04-24,750.75,772.0,745.5,766.75,11663,
2014-04-25,765.5,781.0,764.0,779.75,11698,
2014-04-28,780.0,789.75,773.5,787.25,12918,
2014-04-29,787.0,803.25,782.25,802.5,16911,
2014-04-30,802.5,815.25,796.75,813.0,17686,
2014-05-01,813.75,817.0,798.5,804.75,14571,
2014-05-02,806.0,828.0,805.5,821.0,17270,
2014-05-05,828.0,843.0,822.75,830.25,14052,
2014-05-06,835.25,855.5,829.75,845.0,14917,
2014-05-07,845.0,847.5,828.25,844.25,15421,
2014-05-08,839.75,844.25,828.25,842.25,12322,
2014-05-09,841.75,845.25,828.0,828.5,14348,
2014-05-12,827.0,827.0,809.5,824.75,9833,
2014-05-13,824.5,827.5,815.5,825.5,7553,
2014-05-14,825.75,826.0,803.0,805.5,11687,
2014-05-15,805.75,807.0,777.75,777.75,13917,
2014-05-16,778.75,781.25,762.25,767.75,12308,
2014-05-19,767.75,770.75,759.0,770.0,10666,
2014-05-20,769.0,785.75,766.0,768.25,9553,
2014-05-21,767.0,772.0,759.25,761.25,8381,
2014-05-22,761.5,764.75,747.75,752.5,12734,
2014-05-23,752.0,755.0,740.75,745.0,7675,
2014-05-27,741.0,747.0,736.0,738.25,8335,
2014-05-28,735.5,740.25,729.25,735.75,7916,
2014-05-29,736.25,740.0,726.5,730.5,9957,
2014-05-30,731.0,735.75,721.5,723.25,10017,
2014-06-02,721.5,724.0,710.75,718.25,13728,
2014-06-03,721.0,721.25,705.75,707.25,10391,
2014-06-04,706.25,717.0,706.0,713.0,11728,
2014-06-05,713.5,722.0,711.0,714.0,16989,
2014-06-06,714.25,737.75,713.25,736.75,18011,
2014-06-09,736.75,745.0,731.0,735.0,16984,
2014-06-10,735.0,737.5,723.0,726.5,14353,
2014-06-12,702.0,709.0,702.0,706.25,17172,
2014-06-13,706.25,719.5,705.5,711.25,12123,
2014-06-16,713.5,720.0,706.0,707.25,10930,
2014-06-17,707.75,713.75,702.0,713.5,7685,
2014-06-18,712.75,741.75,712.0,727.5,13701,
2014-06-19,728.0,738.0,724.5,729.5,9542,
2014-06-20,729.0,730.25,720.0,720.5,7484,
2014-06-23,720.5,731.75,708.0,713.25,7125,
2014-06-24,714.0,714.0,704.5,705.0,5310,
2014-06-25,704.0,714.25,701.0,712.75,11651,
2014-06-26,712.0,720.0,708.75,715.25,11470,
2014-06-27,714.5,728.0,713.75,722.75,10353,
2014-06-30,721.0,722.0,699.5,699.5,11071,
2014-07-01,700.0,703.5,684.0,689.5,9622,
2014-07-02,689.5,690.0,678.75,683.0,9244,
2014-07-03,683.25,688.5,676.25,686.75,7859,
2014-07-07,697.0,697.0,677.25,681.5,98,
2014-07-08,669.25,674.0,663.5,663.5,7549,
2014-07-09,663.25,664.0,649.5,652.5,12583,
2014-07-10,652.75,657.75,643.75,647.0,9343,
2014-07-11,646.5,647.5,632.5,636.0,11506,
2014-07-14,636.5,647.5,634.75,647.25,8573,
2014-07-15,646.0,647.75,636.0,638.75,7902,
2014-07-16,637.75,645.0,635.5,636.75,10308,
2014-07-17,636.75,659.5,630.25,649.5,12543,
2014-07-18,648.75,653.75,632.0,632.5,6739,
2014-07-21,632.25,633.0,624.25,627.75,6391,
2014-07-22,627.75,635.0,621.0,622.0,6032,
2014-07-23,622.5,625.25,620.0,623.5,9606,
2014-07-24,623.5,635.0,618.75,620.5,9055,
2014-07-25,620.0,631.75,619.25,631.25,7997,
2014-07-28,631.0,636.25,624.0,625.25,6401,
2014-07-29,625.0,627.0,611.0,611.25,13157,
2014-07-30,612.0,620.0,611.0,616.75,7686,
2014-07-31,615.75,631.0,614.75,626.25,12710,
2014-08-01,625.75,642.25,625.25,632.5,12449,
2014-08-04,632.5,648.75,631.25,639.75,10285,
2014-08-05,638.0,644.75,633.25,643.0,7753,
2014-08-06,642.75,661.75,642.0,656.0,12183,
2014-08-07,655.75,658.25,645.25,645.75,13846,
2014-08-08,646.0,646.0,627.75,627.75,15051,
2014-08-11,629.25,633.75,619.75,624.0,14290,
2014-08-12,624.25,624.25,611.5,613.0,15508,
2014-08-13,613.25,620.75,602.5,604.25,16604,
2014-08-14,603.5,610.25,602.0,607.0,8138,
2014-08-15,607.0,627.75,605.0,620.0,8467,
2014-08-18,633.25,633.25,625.25,630.75,7250,
2014-08-19,628.75,644.0,625.0,638.25,11396,
2014-08-20,624.5,627.5,612.75,619.5,6173,
2014-08-21,631.75,636.0,627.5,633.0,12777,
2014-08-22,632.0,648.5,631.5,642.0,16389,
2014-08-25,643.25,647.75,632.5,634.0,8584,
2014-08-26,633.0,637.0,623.25,630.5,11659,
2014-08-27,630.5,641.25,626.0,637.25,12964,
2014-08-28,637.5,654.25,634.0,643.0,12635,
2014-08-29,642.5,652.0,638.5,642.0,12988,
2014-09-02,642.0,642.75,628.25,632.5,9355,
2014-09-03,633.25,633.5,615.25,616.75,10452,
2014-09-04,617.5,623.5,616.0,619.5,10287,
2014-09-05,619.5,634.75,619.5,629.0,10843,
2014-09-08,628.0,631.25,618.0,630.0,8554,
2014-09-09,628.75,629.0,620.75,624.5,7802,
2014-09-10,623.5,623.5,615.0,615.75,7736,
2014-09-11,614.75,615.25,601.0,606.5,11335,
2014-09-12,606.0,606.25,590.25,592.75,10749,
2014-09-15,592.5,593.0,585.25,585.75,10799,
2014-09-16,585.5,594.75,579.5,584.0,9854,
2014-09-17,582.5,584.5,579.0,582.5,7740,
2014-09-18,579.75,582.0,569.0,569.5,8426,
2014-09-19,568.25,570.0,557.5,559.5,11456,
2014-09-22,561.0,565.25,553.5,559.5,7394,
2014-09-23,559.75,563.25,553.5,561.75,7738,
2014-09-24,559.25,571.75,559.0,564.25,9835,
2014-09-25,563.25,566.25,555.0,564.0,7855,
2014-09-26,563.5,565.0,559.25,564.25,4360,
2014-09-29,559.75,569.0,559.5,565.75,5716,
2014-09-30,566.25,566.75,554.25,558.25,14766,
2014-10-01,556.5,563.0,550.0,557.25,11002,
2014-10-02,556.25,569.75,556.25,563.0,9460,
2014-10-06,567.75,578.0,567.0,575.25,9034,
2014-10-07,575.0,596.0,573.5,589.5,14662,
2014-10-08,588.25,592.0,582.0,586.75,7755,
2014-10-09,586.0,588.25,571.0,571.75,9147,
2014-10-10,572.25,587.5,568.0,577.0,12182,
2014-10-13,577.75,586.75,575.25,584.0,5658,
2014-10-14,584.25,591.0,582.0,590.25,7448,
2014-10-15,590.75,598.5,584.5,593.5,9989,
2014-10-16,592.25,606.5,590.75,606.0,12323,
2014-10-17,605.5,614.75,600.75,601.75,13665,
2014-10-20,601.0,602.5,594.5,601.25,7975,
2014-10-21,601.75,606.5,597.5,602.25,10498,
2014-10-22,603.25,612.0,599.25,605.75,9166,
2014-10-23,603.25,608.75,601.5,605.25,9918,
2014-10-24,603.0,615.75,593.25,594.25,10288,
2014-10-27,592.25,599.0,588.5,595.75,10649,
2014-10-28,597.0,604.75,595.25,602.75,8535,
2014-10-29,601.75,608.75,598.5,606.75,10788,
2014-10-30,606.0,611.75,599.5,601.5,11657,
2014-10-31,601.25,603.5,587.0,591.75,18360,
2014-11-03,594.5,599.5,590.0,598.0,8145,
2014-11-04,597.75,598.5,589.0,592.0,6360,
2014-11-05,591.75,592.0,579.75,584.25,10979,
2014-11-06,584.5,586.5,578.5,579.0,8973,
2014-11-07,580.0,580.0,567.5,569.0,15412,
2014-11-10,568.75,577.0,565.25,575.25,18155,
2014-11-11,573.25,580.25,569.0,577.0,21366,
2014-11-12,578.25,602.5,577.0,597.5,25873,
2014-11-13,599.25,610.0,594.0,604.75,21864,
2014-11-14,605.0,612.5,599.75,605.5,11505,
2014-11-17,607.0,612.75,599.25,600.0,9191,
2014-11-18,601.0,602.0,593.0,597.25,9877,
2014-11-19,597.0,597.0,584.0,591.5,9516,
2014-11-20,589.25,607.0,586.0,606.5,17311,
2014-11-21,606.0,612.0,601.5,607.0,12141,
2014-11-24,606.25,610.25,602.25,606.25,12378,
2014-11-25,605.25,621.0,603.5,620.5,16326,
2014-11-26,619.0,627.75,617.25,622.75,13498,
2014-11-28,620.5,640.75,620.0,640.5,15118,
2014-12-01,639.0,664.75,638.0,664.25,18746,
2014-12-02,663.0,666.75,650.75,652.0,19127,
2014-12-03,651.0,653.25,636.25,640.0,11460,
2014-12-04,639.75,640.25,625.75,634.75,9570,
2014-12-05,634.5,643.5,630.0,638.5,12473,
2014-12-08,638.75,650.25,633.5,637.5,10253,
2014-12-09,637.5,637.5,620.5,622.25,14780,
2014-12-10,622.0,622.75,613.0,618.5,12304,
2014-12-11,618.0,632.5,610.5,625.75,14200,
2014-12-12,628.0,643.0,622.75,633.5,11933,
2014-12-15,633.5,651.5,630.25,645.75,12333,
2014-12-16,643.0,670.0,643.0,651.75,15793,
2014-12-17,654.0,682.75,649.75,681.5,18749,
2014-12-18,678.75,705.75,677.5,682.25,17637,
2014-12-19,682.0,682.5,661.75,666.75,11510,
2014-12-22,664.0,677.75,655.25,656.25,12141,
2014-12-23,657.0,667.5,652.75,666.0,6812,
2014-12-24,665.5,667.75,638.0,643.25,6406,
2014-12-26,646.0,649.25,642.25,643.0,2300,
2014-12-29,645.0,654.75,642.5,646.5,6047,
2014-12-30,647.0,647.0,634.0,636.75,8582,
2014-12-31,635.25,638.75,621.5,628.5,8216,
2015-01-02,627.0,628.0,610.0,616.5,8251,
2015-01-05,615.5,633.0,615.25,623.25,9149,
2015-01-06,624.25,642.0,623.0,632.0,11058,
2015-01-07,633.5,634.0,619.25,619.25,8486,
2015-01-08,620.75,620.75,605.75,608.0,11823,
2015-01-09,608.0,612.5,598.0,598.75,10096,
2015-01-12,599.75,602.25,590.0,590.5,18250,
2015-01-13,590.5,600.25,580.75,581.25,13130,
2015-01-14,582.25,583.25,571.5,575.0,13770,
2015-01-15,578.0,584.5,570.25,574.5,13241,
2015-01-16,577.0,584.75,574.25,575.25,12321,
2015-01-20,576.75,579.75,564.75,576.0,13693,
2015-01-21,578.0,583.25,570.75,570.75,12316,
2015-01-22,571.0,578.25,564.0,565.0,11993,
2015-01-23,564.0,566.75,560.25,562.5,14600,
2015-01-26,564.0,567.75,553.5,554.0,12844,
2015-01-27,552.5,556.5,549.0,549.75,10448,
2015-01-28,549.75,550.75,534.5,536.25,15050,
2015-01-29,536.0,548.75,533.25,544.0,18560,
2015-01-30,544.0,549.5,536.25,539.5,17974,
2015-02-02,539.0,543.25,533.0,535.25,13540,
2015-02-03,534.75,559.75,534.5,558.5,18203,
2015-02-04,559.5,564.75,550.0,554.5,16724,
2015-02-05,552.25,566.5,549.5,565.5,17373,
2015-02-06,564.75,573.25,554.0,562.25,16505,
2015-02-09,560.75,566.75,557.0,562.25,15259,
2015-02-10,561.0,563.5,552.75,553.0,17973,
2015-02-11,552.0,563.75,550.25,557.75,17890,
2015-02-12,556.5,559.5,552.0,553.25,16286,
2015-02-13,553.0,563.5,552.75,563.5,18345,
2015-02-17,564.0,582.25,560.75,563.0,18837,
2015-02-18,564.5,570.0,546.75,548.25,13776,
2015-02-19,548.75,553.0,543.75,544.25,10180,
2015-02-20,544.25,548.25,536.0,537.25,18672,
2015-02-23,538.25,541.0,534.25,535.5,14649,
2015-02-24,536.25,547.25,536.0,538.0,19157,
2015-02-25,538.5,540.25,525.5,531.0,13645,
2015-02-26,530.25,533.25,521.75,532.5,14601,
2015-02-27,532.0,547.25,530.25,538.0,16730,
2015-03-02,539.5,547.75,525.25,526.0,13071,
