date,open,high,low,close,volume,suspicious_flag
2010-06-07,88.65,88.775,87.6,87.95,18062,
2010-06-08,87.925,88.3,87.625,88.0,10139,
2010-06-09,87.95,88.9,87.4,87.6,13011,
2010-06-10,87.6,88.4,87.5,88.075,10153,
2010-06-11,88.15,88.275,87.2,87.3,11575,
2010-06-14,87.675,88.4,87.45,88.2,10199,
2010-06-15,88.125,89.1,87.825,88.75,12905,
2010-06-16,88.75,89.2,88.3,89.05,9791,
2010-06-17,88.9,89.3,88.6,88.65,9450,
2010-06-18,88.8,88.825,88.1,88.125,9086,
2010-06-21,88.85,89.975,88.775,89.95,14181,
2010-06-22,89.975,90.25,88.55,88.85,16390,
2010-06-23,88.7,89.025,88.4,88.45,10375,
2010-06-24,88.55,89.475,88.275,89.2,10785,
2010-06-25,89.225,89.55,89.05,89.325,9328,
2010-06-28,89.5,89.85,88.875,89.6,11299,
2010-06-29,89.6,89.75,87.9,89.0,17788,
2010-06-30,88.95,90.475,88.85,89.675,17542,
2010-07-01,89.725,90.3,89.5,89.825,11498,
2010-07-02,89.875,90.425,89.45,89.8,10342,
2010-07-05,89.5,90.025,89.5,89.8,79,
2010-07-06,89.9,90.85,89.725,90.0,13427,
2010-07-07,90.0,91.05,89.85,90.975,17139,
2010-07-08,90.9,91.225,90.625,90.85,14666,
2010-07-09,90.85,91.175,90.1,90.25,18508,
2010-07-12,90.375,90.5,89.875,90.2,12214,
2010-07-13,90.2,91.05,90.075,90.975,15288,
2010-07-14,90.975,92.65,90.675,92.55,22334,
2010-07-15,93.6,94.0,93.2,93.825,12668,
2010-07-16,92.625,92.75,92.1,92.375,9488,
2010-07-19,92.4,93.375,92.35,93.225,10751,
2010-07-20,93.25,93.375,92.775,93.125,7367,
2010-07-21,94.625,95.025,94.225,94.75,9618,
2010-07-22,94.85,95.15,94.25,94.45,15139,
2010-07-23,94.375,94.925,94.375,94.65,11760,
2010-07-26,95.0,95.15,93.75,93.825,9160,
2010-07-27,93.85,94.275,93.625,93.7,10069,
2010-07-28,93.7,94.275,93.4,94.1,9889,
2010-07-29,94.1,94.9,93.25,93.625,16419,
2010-07-30,93.625,94.775,93.25,94.775,14099,
2010-08-02,94.775,95.2,94.05,94.25,16914,
2010-08-03,94.25,94.9,93.75,94.15,8078,
2010-08-04,94.15,96.1,94.1,95.95,17970,
2010-08-05,95.95,97.0,95.65,95.875,17958,
2010-08-06,96.0,96.175,95.425,95.75,11369,
2010-08-09,95.65,96.0,95.025,95.6,10009,
2010-08-10,95.65,95.725,94.9,95.375,10704,
2010-08-11,95.325,95.75,94.425,95.45,15222,
2010-08-12,95.45,96.175,95.0,95.2,12438,
2010-08-13,95.3,95.5,94.875,95.25,9511,
2010-08-16,95.3,97.175,95.275,96.45,13421,
2010-08-17,96.45,96.75,95.875,96.325,10141,
2010-08-18,96.25,98.5,96.1,98.5,16816,
2010-08-19,98.5,100.0,98.3,99.2,31487,
