date,open,high,low,close,volume,suspicious_flag
2019-05-06,1583.1,1621.8,1578.0,1609.6,33998,
2019-05-07,1609.0,1615.3,1572.8,1587.4,19579,
2019-05-08,1586.0,1594.0,1576.2,1577.9,16215,
2019-05-09,1578.6,1578.6,1546.6,1572.8,30000,
2019-05-10,1574.1,1582.5,1545.8,1579.2,30670,
2019-05-13,1560.2,1562.1,1517.3,1518.1,32964,
2019-05-14,1519.6,1550.7,1518.3,1547.0,11855,
2019-05-15,1547.0,1553.0,1529.4,1548.9,23132,
2019-05-16,1548.4,1570.4,1542.9,1561.1,29944,
2019-05-17,1560.7,1561.5,1534.8,1537.7,55100,
2019-05-20,1544.2,1547.2,1522.1,1529.5,42878,
2019-05-21,1530.7,1548.7,1527.5,1546.6,18910,
2019-05-22,1546.3,1548.3,1528.0,1531.7,19760,
2019-05-23,1532.0,1532.2,1493.1,1504.6,35654,
2019-05-24,1504.4,1518.5,1504.4,1516.4,24684,
2019-05-27,1517.1,1521.9,1514.8,1517.5,1549,
2019-05-28,1517.7,1523.8,1502.7,1505.6,27587,
2019-05-29,1506.3,1506.3,1480.6,1490.1,35605,
2019-05-30,1490.2,1502.4,1471.6,1472.3,27314,
2019-05-31,1471.9,1477.2,1459.5,1466.3,24859,
2019-06-03,1458.0,1478.1,1455.9,1474.7,40094,
2019-06-04,1474.8,1511.6,1471.1,1510.6,28964,
2019-06-05,1510.6,1516.5,1492.1,1502.4,27740,
2019-06-06,1502.4,1513.1,1488.7,1501.7,26809,
2019-06-07,1501.5,1521.1,1500.9,1514.0,21526,
2019-06-10,1519.2,1537.3,1515.4,1523.2,17092,
2019-06-11,1522.9,1538.2,1511.4,1517.2,16801,
2019-06-12,1516.8,1524.6,1511.7,1524.4,11825,
2019-06-13,1524.4,1537.4,1514.8,1534.4,12125,
2019-06-14,1534.9,1539.9,1522.2,1525.1,5281,
2019-06-17,1527.0,1539.6,1524.4,1534.1,2535,
2019-06-18,1534.1,1562.4,1529.5,1552.7,2001,
2019-06-19,1555.8,1565.4,1548.4,1564.8,10894,
2019-06-20,1564.3,1575.9,1558.1,1565.2,12592,
2019-06-21,1565.4,1566.8,1549.6,1551.1,17520,
2019-06-24,1555.0,1558.9,1533.6,1536.6,13597,
2019-06-25,1536.8,1540.5,1521.9,1523.8,19771,
2019-06-26,1523.8,1535.7,1520.0,1521.6,14809,
2019-06-27,1521.8,1554.0,1520.7,1552.5,21358,
2019-06-28,1552.6,1575.0,1548.4,1573.9,27186,
2019-07-01,1583.7,1593.2,1564.8,1572.4,21418,
2019-07-02,1572.7,1577.0,1554.7,1565.6,19582,
2019-07-03,1565.4,1580.0,1562.6,1577.4,11985,
2019-07-04,1577.6,1581.6,1575.2,1578.9,1340,
2019-07-05,1578.7,1580.4,1560.6,1579.8,17553,
2019-07-08,1577.4,1578.5,1560.9,1561.7,14305,
2019-07-09,1561.7,1566.6,1555.6,1565.0,20011,
2019-07-10,1564.8,1578.0,1560.2,1567.8,25750,
2019-07-11,1567.6,1573.6,1553.7,1561.0,29764,
2019-07-12,1561.0,1578.5,1560.2,1571.7,22290,
2019-07-15,1570.6,1579.0,1560.0,1566.1,22323,
2019-07-16,1565.9,1573.7,1558.1,1564.7,28404,
2019-07-17,1564.4,1568.5,1548.2,1550.5,27569,
2019-07-18,1550.6,1564.1,1546.5,1559.5,29748,
2019-07-19,1559.8,1565.3,1545.0,1546.9,26402,
2019-07-22,1550.9,1557.9,1544.6,1548.5,34123,
2019-07-23,1548.5,1557.9,1545.8,1557.2,36091,
2019-07-24,1557.0,1585.9,1550.6,1585.2,38886,
2019-07-25,1584.7,1588.8,1561.4,1564.1,32220,
2019-07-26,1564.3,1585.2,1562.6,1580.9,33784,
