date,open,high,low,close,volume,suspicious_flag
2019-05-06,2895.25,2938.0,2883.75,2918.25,162154,
2019-05-07,2918.5,2930.75,2862.5,2884.75,245769,
2019-05-08,2885.25,2899.25,2868.75,2881.5,255047,
2019-05-09,2881.25,2883.5,2836.25,2873.75,344372,
2019-05-10,2874.0,2893.0,2826.0,2887.25,389261,
2019-05-13,2857.0,2861.25,2799.5,2803.75,382144,
2019-05-14,2803.5,2854.0,2803.25,2842.0,179260,
2019-05-15,2842.0,2860.0,2815.0,2852.25,217633,
2019-05-16,2851.75,2894.25,2840.5,2881.75,219144,
2019-05-17,2881.5,2887.75,2852.5,2861.5,299292,
2019-05-20,2871.0,2876.75,2832.25,2849.75,262358,
2019-05-21,2850.0,2870.75,2846.5,2867.25,158340,
2019-05-22,2867.0,2869.75,2848.5,2854.25,175832,
2019-05-23,2854.75,2855.5,2805.5,2823.0,304042,
2019-05-24,2823.5,2842.0,2820.75,2830.75,169987,
2019-05-27,2830.5,2839.0,2826.25,2833.25,19037,
2019-05-28,2833.25,2841.25,2800.5,2804.5,193689,
2019-05-29,2804.75,2805.5,2766.25,2781.5,300123,
2019-05-30,2781.75,2799.25,2764.5,2766.0,208287,
2019-05-31,2766.25,2775.75,2750.0,2752.75,316554,
2019-06-03,2736.0,2763.75,2728.75,2751.0,409776,
2019-06-04,2751.25,2813.25,2744.0,2812.0,267959,
2019-06-05,2812.25,2829.75,2800.75,2822.5,314875,
2019-06-06,2822.5,2853.25,2821.75,2844.5,252996,
2019-06-07,2844.75,2886.25,2842.0,2877.75,227823,
2019-06-10,2887.25,2905.75,2880.5,2886.75,162831,
2019-06-11,2886.75,2911.5,2879.25,2885.25,224841,
2019-06-12,2885.25,2890.75,2875.25,2885.5,170388,
2019-06-13,2885.25,2896.5,2867.5,2891.25,199801,
2019-06-14,2891.5,2898.75,2880.5,2891.75,80886,
2019-06-17,2899.75,2904.75,2892.0,2896.25,125071,
2019-06-18,2896.25,2936.5,2889.25,2928.75,268208,
2019-06-19,2928.5,2942.75,2912.0,2941.0,211568,
2019-06-20,2941.0,2964.25,2935.75,2957.75,248844,
2019-06-21,2957.5,2969.25,2947.75,2948.25,219193,
2019-06-24,2955.75,2961.5,2948.75,2952.5,158729,
2019-06-25,2952.5,2958.25,2917.5,2920.75,250437,
2019-06-26,2920.75,2939.0,2914.5,2918.75,193000,
