date,open,high,low,close,volume,suspicious_flag
2019-05-06,26013.0,26445.0,25936.0,26282.0,25150,
2019-05-07,26273.0,26393.0,25753.0,25924.0,61847,
2019-05-08,25907.0,26077.0,25798.0,25969.0,60227,
2019-05-09,25966.0,25985.0,25501.0,25849.0,80671,
2019-05-10,25848.0,26015.0,25463.0,25961.0,77936,
2019-05-13,25718.0,25747.0,25214.0,25246.0,59129,
2019-05-14,25243.0,25677.0,25241.0,25590.0,42676,
2019-05-15,25586.0,25714.0,25326.0,25650.0,53663,
2019-05-16,25637.0,25954.0,25555.0,25891.0,41023,
2019-05-17,25892.0,25948.0,25628.0,25770.0,40161,
2019-05-20,25864.0,25901.0,25554.0,25744.0,40160,
2019-05-21,25748.0,25895.0,25711.0,25880.0,30967,
2019-05-22,25880.0,25906.0,25729.0,25746.0,34172,
2019-05-23,25743.0,25749.0,25321.0,25490.0,54629,
2019-05-24,25497.0,25663.0,25491.0,25609.0,31360,
2019-05-27,25619.0,25697.0,25586.0,25652.0,4207,
2019-05-28,25658.0,25717.0,25330.0,25365.0,39517,
2019-05-29,25370.0,25376.0,24938.0,25113.0,59338,
2019-05-30,25109.0,25216.0,24960.0,24975.0,43568,
2019-05-31,24975.0,25058.0,24788.0,24807.0,60342,
2019-06-03,24646.0,24937.0,24610.0,24882.0,84067,
2019-06-04,24886.0,25425.0,24826.0,25405.0,59119,
2019-06-05,25405.0,25572.0,25344.0,25521.0,56861,
2019-06-06,25519.0,25807.0,25513.0,25740.0,46118,
2019-06-07,25731.0,26084.0,25711.0,26033.0,32002,
2019-06-10,26107.0,26221.0,26048.0,26071.0,28097,
2019-06-11,26070.0,26262.0,26009.0,26051.0,31511,
2019-06-12,26046.0,26100.0,25962.0,26049.0,27965,
2019-06-13,26045.0,26153.0,25891.0,26104.0,31446,
2019-06-14,26102.0,26176.0,25996.0,26134.0,17282,
2019-06-17,26161.0,26208.0,26057.0,26127.0,2653,
2019-06-18,26129.0,26541.0,26078.0,26517.0,3054,
2019-06-19,26521.0,26618.0,26362.0,26604.0,28940,
2019-06-20,26594.0,26812.0,26549.0,26767.0,33011,
2019-06-21,26758.0,26921.0,26675.0,26680.0,49892,
2019-06-24,26732.0,26815.0,26723.0,26766.0,26424,
2019-06-25,26772.0,26825.0,26509.0,26536.0,56438,
2019-06-26,26534.0,26703.0,26509.0,26539.0,41506,
2019-06-27,26540.0,26665.0,26446.0,26607.0,39564,
2019-06-28,26608.0,26672.0,26522.0,26653.0,31375,
2019-07-01,26812.0,26895.0,26609.0,26671.0,57308,
2019-07-02,26672.0,26806.0,26621.0,26787.0,38802,
2019-07-03,26784.0,27004.0,26750.0,26957.0,20778,
2019-07-04,26962.0,27000.0,26939.0,26989.0,3343,
2019-07-05,26991.0,27005.0,26729.0,26903.0,41693,
2019-07-08,26863.0,26870.0,26742.0,26769.0,29788,
2019-07-09,26769.0,26807.0,26657.0,26775.0,44157,
2019-07-10,26776.0,26984.0,26689.0,26866.0,58526,
2019-07-11,26861.0,27100.0,26861.0,27097.0,52777,
2019-07-12,27099.0,27328.0,27094.0,27314.0,40795,
2019-07-15,27290.0,27397.0,27263.0,27362.0,33989,
2019-07-16,27360.0,27397.0,27279.0,27328.0,41588,
2019-07-17,27326.0,27375.0,27153.0,27174.0,44129,
2019-07-18,27169.0,27401.0,27059.0,27267.0,64810,
2019-07-19,27265.0,27336.0,27071.0,27080.0,64243,
2019-07-22,27153.0,27215.0,27076.0,27178.0,51354,
2019-07-23,27179.0,27358.0,27162.0,27328.0,52797,
2019-07-24,27328.0,27346.0,27176.0,27261.0,50023,
2019-07-25,27260.0,27349.0,27039.0,27115.0,69417,
2019-07-26,27122.0,27192.0,27103.0,27143.0,37251,
