date,open,high,low,close,volume,suspicious_flag
2010-06-07,4.853,4.995,4.66,4.98,132351.0,
2010-06-08,4.98,4.985,4.747,4.799,137231.0,
2010-06-09,4.797,4.836,4.667,4.672,104670.0,
2010-06-10,4.675,4.808,4.607,4.686,126860.0,
2010-06-11,4.683,4.815,4.675,4.793,89422.0,
2010-06-14,4.898,5.084,4.863,5.03,119069.0,
2010-06-15,5.035,5.194,5.025,5.141,118175.0,
2010-06-16,5.147,5.196,4.965,5.03,101482.0,
2010-06-17,5.03,5.178,4.98,5.135,133021.0,
2010-06-18,5.138,5.19,4.987,5.028,80595.0,
2010-06-21,5.08,5.182,4.826,4.877,120119.0,
2010-06-22,4.873,4.886,4.691,4.782,102914.0,
2010-06-23,4.783,4.878,4.746,4.801,88835.0,
2010-06-24,4.796,4.855,4.698,4.774,69429.0,
2010-06-25,4.779,4.893,4.74,4.858,54017.0,
2010-06-28,4.796,4.841,4.697,4.72,10758.0,
2010-06-29,4.749,4.756,4.525,4.557,87854.0,
2010-06-30,4.563,4.64,4.477,4.631,85008.0,
2010-07-01,4.633,4.923,4.534,4.827,131799.0,
2010-07-02,4.826,4.871,4.613,4.681,90450.0,
2010-07-05,4.713,4.841,4.712,4.79,4780.0,
2010-07-06,4.785,4.9,4.64,4.68,102719.0,
2010-07-07,4.683,4.78,4.555,4.594,95494.0,
2010-07-08,4.602,4.619,4.355,4.408,113799.0,
2010-07-09,4.402,4.455,4.339,4.427,64567.0,
2010-07-12,4.442,4.454,4.352,4.398,61930.0,
2010-07-13,4.397,4.487,4.334,4.373,104260.0,
2010-07-14,4.374,4.375,4.303,4.321,77751.0,
2010-07-15,4.322,4.623,4.288,4.617,169204.0,
2010-07-16,4.617,4.659,4.472,4.542,93387.0,
2010-07-19,4.522,4.555,4.454,4.51,78510.0,
2010-07-20,4.505,4.632,4.466,4.627,115893.0,
2010-07-21,4.63,4.662,4.48,4.525,110566.0,
2010-07-22,4.526,4.719,4.509,4.66,131009.0,
2010-07-23,4.662,4.665,4.552,4.563,71983.0,
2010-07-26,4.547,4.634,4.511,4.627,72590.0,
2010-07-27,4.629,4.7,4.6,4.691,52392.0,
2010-07-28,4.692,4.881,4.679,4.756,16628.0,
2010-07-29,4.707,4.87,4.707,4.836,126608.0,
2010-07-30,4.84,4.937,4.784,4.902,83147.0,
2010-08-02,4.997,5.007,4.681,4.724,111981.0,
2010-08-03,4.729,4.825,4.625,4.661,117021.0,
2010-08-04,4.66,4.756,4.632,4.736,90751.0,
2010-08-05,4.73,4.825,4.556,4.618,136606.0,
2010-08-06,4.616,4.646,4.456,4.475,103240.0,
2010-08-09,4.463,4.512,4.263,4.33,157305.0,
2010-08-10,4.329,4.37,4.276,4.312,126879.0,
2010-08-11,4.312,4.376,4.257,4.311,110849.0,
2010-08-12,4.312,4.363,4.264,4.284,120198.0,
2010-08-13,4.281,4.342,4.269,4.314,63467.0,
2010-08-16,4.329,4.35,4.182,4.232,96410.0,
2010-08-17,4.235,4.322,4.186,4.284,93161.0,
2010-08-18,4.281,4.308,4.196,4.23,75864.0,
2010-08-19,4.231,4.375,4.141,4.171,104635.0,
2010-08-20,4.167,4.177,4.109,4.134,50050.0,
2010-08-23,4.052,4.129,4.029,4.084,67454.0,
2010-08-24,4.081,4.086,4.027,4.042,50058.0,
2010-08-25,4.044,4.049,3.838,3.93,77708.0,
2010-08-26,3.924,3.926,3.791,3.821,50721.0,
2010-08-27,3.848,3.883,3.697,3.733,98937.0,
2010-08-30,3.763,3.878,3.693,3.836,81868.0,
2010-08-31,3.837,3.877,3.727,3.769,86821.0,
2010-09-01,3.766,3.878,3.708,3.735,120232.0,
2010-09-02,3.735,3.844,3.697,3.773,94927.0,
2010-09-03,3.776,3.953,3.757,3.91,87553.0,
2010-09-06,3.899,3.922,3.864,3.875,3282.0,
2010-09-07,3.875,3.903,3.768,3.884,100736.0,
2010-09-08,3.89,3.914,3.795,3.821,72456.0,
2010-09-09,3.82,3.84,3.703,3.799,118618.0,
2010-09-10,3.799,3.939,3.773,3.874,100072.0,
2010-09-13,3.842,3.975,3.812,3.942,98886.0,
2010-09-14,3.937,4.02,3.843,3.968,137754.0,
2010-09-15,3.965,4.06,3.932,4.003,121215.0,
2010-09-16,3.999,4.144,3.845,4.064,201619.0,
2010-09-17,4.066,4.106,3.988,4.005,95697.0,
2010-09-20,3.929,4.118,3.806,3.836,108070.0,
2010-09-21,3.833,3.998,3.808,3.935,124148.0,
2010-09-22,3.936,4.014,3.908,3.991,78095.0,
2010-09-23,3.986,4.133,3.972,4.035,109277.0,
2010-09-24,4.034,4.034,3.873,3.883,65858.0,
2010-09-27,3.932,3.942,3.867,3.911,98451.0,
2010-09-28,3.911,4.01,3.908,3.957,86408.0,
2010-09-29,3.957,3.98,3.903,3.968,60922.0,
2010-09-30,3.969,4.012,3.78,3.858,104408.0,
2010-10-01,3.859,3.865,3.788,3.788,68174.0,
2010-10-04,3.784,3.785,3.686,3.738,74896.0,
2010-10-05,3.737,3.788,3.691,3.769,62227.0,
2010-10-06,3.77,3.888,3.748,3.877,102811.0,
2010-10-07,3.877,3.883,3.607,3.613,166181.0,
2010-10-08,3.611,3.683,3.583,3.645,101377.0,
2010-10-11,3.631,3.673,3.586,3.599,80372.0,
2010-10-12,3.597,3.673,3.545,3.651,114953.0,
2010-10-13,3.645,3.777,3.633,3.668,162111.0,
2010-10-14,3.673,3.761,3.595,3.646,142237.0,
2010-10-15,3.646,3.678,3.52,3.525,106236.0,
2010-10-18,3.48,3.53,3.395,3.417,110150.0,
2010-10-19,3.416,3.54,3.404,3.522,95366.0,
2010-10-20,3.522,3.613,3.507,3.527,92076.0,
2010-10-21,3.527,3.54,3.346,3.398,106591.0,
2010-10-22,3.398,3.402,3.29,3.333,71492.0,
2010-10-25,3.27,3.389,3.255,3.346,56393.0,
2010-10-26,3.343,3.41,3.263,3.333,57846.0,
2010-10-27,3.339,3.391,3.212,3.342,12381.0,
2010-10-28,3.787,3.926,3.656,3.918,142361.0,
2010-10-29,3.919,4.075,3.83,4.044,149397.0,
2010-11-01,4.056,4.187,3.812,3.828,127851.0,
2010-11-02,3.832,3.928,3.75,3.858,130077.0,
2010-11-03,3.858,3.9,3.79,3.83,73992.0,
2010-11-04,3.822,3.899,3.743,3.856,125032.0,
2010-11-05,3.856,3.948,3.847,3.945,101322.0,
2010-11-08,3.984,4.137,3.937,4.128,129294.0,
2010-11-09,4.128,4.228,4.058,4.218,143351.0,
2010-11-10,4.216,4.249,4.018,4.077,138243.0,
2010-11-11,4.079,4.125,3.917,3.923,124338.0,
2010-11-12,3.921,3.94,3.794,3.808,109208.0,
2010-11-15,3.815,3.885,3.71,3.876,126273.0,
2010-11-16,3.873,3.919,3.782,3.82,100368.0,
2010-11-17,3.825,4.037,3.796,4.023,127068.0,
2010-11-18,4.025,4.058,3.853,4.022,142058.0,
2010-11-19,4.02,4.175,3.975,4.168,109087.0,
2010-11-22,4.182,4.293,4.125,4.276,95451.0,
2010-11-23,4.277,4.291,4.115,4.246,73854.0,
2010-11-24,4.241,4.382,4.176,4.253,10987.0,
2010-11-25,4.418,4.482,4.352,4.409,6405.0,
2010-11-26,4.406,4.463,4.364,4.411,29797.0,
2010-11-29,4.4,4.487,4.166,4.208,125953.0,
2010-11-30,4.207,4.254,4.126,4.207,92139.0,
2010-12-01,4.206,4.324,4.164,4.305,112582.0,
2010-12-02,4.302,4.377,4.197,4.355,129366.0,
2010-12-03,4.355,4.391,4.28,4.318,84051.0,
2010-12-06,4.409,4.54,4.39,4.52,140952.0,
2010-12-07,4.518,4.545,4.35,4.371,132179.0,
2010-12-08,4.37,4.614,4.367,4.611,159350.0,
2010-12-09,4.612,4.637,4.368,4.409,171460.0,
2010-12-10,4.412,4.479,4.344,4.424,126937.0,
2010-12-13,4.481,4.547,4.323,4.43,150024.0,
2010-12-14,4.426,4.438,4.233,4.24,117959.0,
2010-12-15,4.236,4.278,4.193,4.232,113771.0,
2010-12-16,4.23,4.242,4.01,4.019,130405.0,
2010-12-17,4.018,4.11,3.951,4.056,106398.0,
2010-12-20,4.025,4.25,4.013,4.236,101257.0,
2010-12-21,4.238,4.238,4.056,4.08,79122.0,
2010-12-22,4.078,4.167,3.988,4.11,90546.0,
2010-12-23,4.116,4.177,4.052,4.069,55590.0,
2010-12-27,4.047,4.12,3.992,4.1,50828.0,
2010-12-28,4.097,4.265,4.07,4.241,10800.0,
2010-12-29,4.263,4.319,4.216,4.315,66867.0,
2010-12-30,4.315,4.364,4.235,4.328,74991.0,
2010-12-31,4.332,4.454,4.306,4.392,60679.0,
2011-01-03,4.512,4.689,4.507,4.623,149940.0,
2011-01-04,4.623,4.707,4.557,4.639,146107.0,
2011-01-05,4.634,4.636,4.447,4.49,110558.0,
2011-01-06,4.49,4.623,4.38,4.394,160352.0,
2011-01-07,4.394,4.45,4.327,4.419,118314.0,
2011-01-10,4.422,4.45,4.322,4.375,100038.0,
2011-01-11,4.372,4.51,4.338,4.503,127360.0,
2011-01-12,4.502,4.554,4.446,4.476,125341.0,
2011-01-13,4.48,4.503,4.362,4.398,148033.0,
2011-01-14,4.398,4.496,4.367,4.485,111629.0,
2011-01-17,4.526,4.542,4.466,4.517,6062.0,
2011-01-18,4.519,4.538,4.387,4.41,111526.0,
2011-01-19,4.413,4.585,4.411,4.567,114845.0,
2011-01-20,4.566,4.705,4.525,4.687,161088.0,
2011-01-21,4.687,4.777,4.644,4.722,125565.0,
2011-01-24,4.815,4.83,4.557,4.595,105032.0,
2011-01-25,4.595,4.609,4.401,4.475,84607.0,
2011-01-26,4.475,4.51,4.381,4.472,47013.0,
2011-01-27,4.492,4.499,4.31,4.33,127086.0,
2011-01-28,4.329,4.369,4.252,4.335,85166.0,
2011-01-31,4.345,4.46,4.29,4.401,129332.0,
2011-02-01,4.4,4.425,4.321,4.353,92710.0,
2011-02-02,4.354,4.45,4.339,4.44,117222.0,
2011-02-03,4.44,4.496,4.325,4.36,138635.0,
2011-02-04,4.359,4.369,4.287,4.309,94687.0,
2011-02-07,4.258,4.263,4.101,4.115,173025.0,
2011-02-08,4.116,4.127,4.028,4.06,156000.0,
2011-02-09,4.062,4.091,3.992,4.061,126363.0,
2011-02-10,4.066,4.149,3.955,3.968,165624.0,
2011-02-11,3.966,3.981,3.895,3.897,122442.0,
2011-02-14,3.897,3.95,3.86,3.931,96026.0,
2011-02-15,3.931,3.997,3.891,3.97,95167.0,
2011-02-16,3.973,3.997,3.908,3.921,98180.0,
2011-02-17,3.921,3.949,3.825,3.879,102356.0,
2011-02-18,3.873,3.899,3.841,3.865,79875.0,
2011-02-21,3.891,3.989,3.861,3.967,8671.0,
2011-02-22,3.966,3.989,3.823,3.871,65491.0,
2011-02-23,3.865,3.929,3.821,3.89,50275.0,
2011-02-24,3.937,3.954,3.822,3.898,103233.0,
2011-02-25,3.895,4.044,3.832,4.022,123311.0,
2011-02-28,3.997,4.1,3.954,4.042,113449.0,
2011-03-01,4.042,4.048,3.854,3.864,129512.0,
2011-03-02,3.866,3.885,3.796,3.83,89116.0,
2011-03-03,3.829,3.87,3.76,3.775,100849.0,
2011-03-04,3.772,3.826,3.731,3.804,70438.0,
2011-03-07,3.769,3.936,3.731,3.913,149092.0,
2011-03-08,3.913,3.964,3.832,3.855,128846.0,
2011-03-09,3.855,3.946,3.838,3.92,121421.0,
2011-03-10,3.918,3.94,3.795,3.827,119415.0,
2011-03-11,3.83,3.947,3.806,3.896,119820.0,
2011-03-14,3.912,4.053,3.891,3.906,124479.0,
2011-03-15,3.904,4.004,3.8,3.964,183119.0,
2011-03-16,3.967,4.015,3.902,3.923,111312.0,
2011-03-17,3.921,4.17,3.919,4.159,151148.0,
2011-03-18,4.163,4.198,4.099,4.162,108574.0,
2011-03-21,4.194,4.23,4.116,4.159,105352.0,
2011-03-22,4.162,4.274,4.151,4.267,88231.0,
2011-03-23,4.267,4.352,4.254,4.352,109895.0,
2011-03-24,4.353,4.399,4.213,4.235,130728.0,
2011-03-25,4.236,4.432,4.226,4.426,77253.0,
2011-03-28,4.519,4.548,4.402,4.424,120126.0,
2011-03-29,4.424,4.453,4.255,4.285,126178.0,
2011-03-30,4.28,4.389,4.255,4.367,118677.0,
2011-03-31,4.37,4.442,4.205,4.419,177758.0,
2011-04-01,4.419,4.423,4.286,4.34,108674.0,
2011-04-04,4.325,4.364,4.233,4.277,113060.0,
2011-04-05,4.277,4.322,4.221,4.234,80213.0,
2011-04-06,4.234,4.245,4.112,4.119,115505.0,
2011-04-07,4.119,4.16,4.033,4.063,181449.0,
2011-04-08,4.063,4.079,4.014,4.034,130443.0,
2011-04-11,4.025,4.152,3.99,4.144,140622.0,
2011-04-12,4.145,4.145,4.058,4.098,121540.0,
2011-04-13,4.1,4.182,4.075,4.146,141623.0,
2011-04-14,4.146,4.261,4.063,4.213,174909.0,
2011-04-15,4.213,4.24,4.173,4.215,89586.0,
2011-04-18,4.2,4.27,4.087,4.14,125421.0,
2011-04-19,4.14,4.295,4.129,4.291,115499.0,
2011-04-20,4.295,4.344,4.271,4.32,96919.0,
2011-04-21,4.32,4.428,4.271,4.424,130053.0,
2011-04-25,4.427,4.445,4.344,4.383,75478.0,
2011-04-26,4.385,4.409,4.333,4.394,67505.0,
2011-04-27,4.396,4.425,4.365,4.379,11036.0,
2011-04-28,4.423,4.599,4.406,4.571,180383.0,
2011-04-29,4.571,4.705,4.555,4.683,119555.0,
2011-05-02,4.7,4.729,4.637,4.694,111376.0,
2011-05-03,4.695,4.718,4.649,4.656,77200.0,
2011-05-04,4.66,4.685,4.555,4.56,103418.0,
2011-05-05,4.56,4.572,4.205,4.229,202634.0,
2011-05-06,4.227,4.344,4.217,4.271,120993.0,
2011-05-09,4.257,4.297,4.149,4.18,109844.0,
2011-05-10,4.183,4.282,4.162,4.253,98924.0,
2011-05-11,4.252,4.292,4.153,4.188,112667.0,
2011-05-12,4.188,4.236,4.109,4.2,106476.0,
2011-05-13,4.2,4.273,4.153,4.258,74553.0,
2011-05-16,4.241,4.339,4.196,4.296,96223.0,
2011-05-17,4.296,4.328,4.16,4.203,104274.0,
2011-05-18,4.204,4.241,4.178,4.188,73045.0,
2011-05-19,4.183,4.197,4.078,4.103,117899.0,
2011-05-20,4.104,4.266,4.077,4.261,105636.0,
2011-05-23,4.242,4.379,4.22,4.325,118709.0,
2011-05-24,4.325,4.398,4.27,4.341,87469.0,
2011-05-25,4.335,4.39,4.316,4.39,53111.0,
2011-05-26,4.389,4.414,4.195,4.337,14637.0,
2011-05-27,4.385,4.563,4.365,4.518,140172.0,
2011-05-30,4.56,4.591,4.525,4.569,4144.0,
2011-05-31,4.566,4.707,4.561,4.65,150224.0,
2011-06-01,4.651,4.68,4.587,4.634,112237.0,
2011-06-02,4.636,4.859,4.625,4.786,178414.0,
2011-06-03,4.785,4.807,4.683,4.689,92769.0,
2011-06-06,4.77,4.855,4.738,4.834,135385.0,
2011-06-07,4.838,4.854,4.764,4.823,129422.0,
2011-06-08,4.824,4.919,4.51,4.792,130858.0,
2011-06-09,4.792,4.983,4.651,4.696,198764.0,
2011-06-10,4.699,4.782,4.665,4.76,111633.0,
2011-06-13,4.785,4.811,4.595,4.62,120415.0,
2011-06-14,4.62,4.654,4.554,4.564,91206.0,
2011-06-15,4.565,4.605,4.521,4.589,85219.0,
2011-06-16,4.592,4.595,4.408,4.439,125949.0,
2011-06-17,4.439,4.449,4.317,4.334,97918.0,
2011-06-20,4.298,4.376,4.279,4.336,82003.0,
2011-06-21,4.338,4.423,4.305,4.412,95801.0,
2011-06-22,4.416,4.444,4.296,4.316,101888.0,
2011-06-23,4.316,4.335,4.154,4.218,133729.0,
2011-06-24,4.215,4.249,4.171,4.245,61081.0,
2011-06-27,4.213,4.276,4.176,4.264,52858.0,
2011-06-28,4.267,4.378,4.251,4.367,11149.0,
2011-06-29,4.366,4.378,4.276,4.318,89393.0,
2011-06-30,4.32,4.422,4.213,4.386,129984.0,
2011-07-01,4.374,4.389,4.301,4.321,67764.0,
2011-07-04,4.301,4.341,4.251,4.323,8860.0,
2011-07-05,4.323,4.411,4.279,4.349,116101.0,
2011-07-06,4.347,4.361,4.213,4.23,105006.0,
2011-07-07,4.229,4.248,4.064,4.155,135349.0,
2011-07-08,4.152,4.225,4.121,4.225,78356.0,
2011-07-11,4.224,4.338,4.182,4.291,104705.0,
2011-07-12,4.297,4.35,4.223,4.324,86208.0,
2011-07-13,4.327,4.418,4.313,4.374,102603.0,
2011-07-14,4.379,4.41,4.252,4.405,135930.0,
2011-07-15,4.405,4.56,4.383,4.548,134203.0,
2011-07-18,4.552,4.612,4.481,4.521,110534.0,
2011-07-19,4.521,4.579,4.511,4.546,78297.0,
2011-07-20,4.546,4.597,4.433,4.501,120279.0,
