date,open,high,low,close,volume,suspicious_flag
2010-06-07,1.9728,2.0228,1.9609,1.98,30639,
2010-06-08,1.981,2.0136,1.9748,1.988,35762,
2010-06-09,1.9879,2.05,1.9782,2.0264,36788,
2010-06-10,2.035,2.09,2.023,2.076,32871,
2010-06-11,2.08,2.0849,2.03,2.059,31058,
2010-06-14,2.0646,2.11,2.0547,2.064,30289,
2010-06-15,2.0716,2.1277,2.0605,2.1223,33914,
2010-06-16,2.1247,2.16,2.0986,2.1444,33928,
2010-06-17,2.1444,2.1751,2.1377,2.1632,34675,
2010-06-18,2.164,2.17,2.135,2.1575,24418,
2010-06-21,2.173,2.193,2.1247,2.141,22544,
2010-06-22,2.14,2.1555,2.1223,2.125,17347,
2010-06-23,2.1171,2.1265,2.0585,2.0729,35285,
2010-06-24,2.0725,2.0945,2.0525,2.0883,27458,
2010-06-25,2.086,2.162,2.07,2.1585,44993,
2010-06-28,2.1562,2.1625,2.123,2.128,33993,
2010-06-29,2.1256,2.128,2.044,2.0545,40517,
2010-06-30,2.0545,2.08,2.0178,2.0593,44345,
2010-07-01,2.0598,2.0612,1.97,1.9976,35354,
2010-07-02,1.9955,2.006,1.955,1.9815,23046,
2010-07-05,1.989,1.995,1.9525,1.9581,2990,
2010-07-06,1.9579,2.035,1.948,1.9776,35770,
2010-07-07,1.9764,2.045,1.959,2.04,28051,
2010-07-08,2.0425,2.075,2.0278,2.0611,33597,
2010-07-09,2.061,2.08,2.043,2.0763,24597,
2010-07-12,2.0705,2.075,2.0237,2.0316,32373,
2010-07-13,2.033,2.0917,2.0138,2.0825,34591,
2010-07-14,2.0825,2.095,2.0584,2.0598,39813,
2010-07-15,2.0598,2.087,2.025,2.0685,29975,
2010-07-16,2.0657,2.0703,2.025,2.0438,24829,
2010-07-19,2.0396,2.1012,2.0369,2.0553,24243,
2010-07-20,2.0598,2.0867,2.0451,2.084,15739,
2010-07-21,2.0812,2.1073,2.0597,2.067,17517,
2010-07-22,2.067,2.145,2.0592,2.14,49822,
2010-07-23,2.1399,2.1522,2.1093,2.115,46022,
2010-07-26,2.1131,2.1245,2.09,2.1064,26541,
2010-07-27,2.1064,2.1204,2.0468,2.0573,49641,
2010-07-28,2.0571,2.07,2.03,2.0647,41953,
2010-07-29,2.0632,2.1164,2.049,2.0998,42752,
2010-07-30,2.0981,2.125,2.06,2.1216,35685,
2010-08-02,2.1264,2.1924,2.125,2.17,38666,
2010-08-03,2.17,2.2,2.1635,2.185,31668,
2010-08-04,2.185,2.2,2.16,2.1715,45708,
2010-08-05,2.174,2.175,2.145,2.1644,37071,
2010-08-06,2.1644,2.1825,2.095,2.1128,47799,
2010-08-09,2.1164,2.1433,2.107,2.1245,34281,
2010-08-10,2.1226,2.1245,2.065,2.0886,46835,
2010-08-11,2.09,2.0943,1.98,1.9891,70488,
2010-08-12,1.9897,1.996,1.949,1.9616,49232,
2010-08-13,1.9615,1.9813,1.925,1.9435,34820,
2010-08-16,1.942,1.9559,1.9185,1.9296,27031,
2010-08-17,1.9264,1.9715,1.9264,1.9421,31524,
2010-08-18,1.945,1.9666,1.9089,1.9596,30077,
2010-08-19,1.9579,1.9707,1.9195,1.9344,20260,
2010-08-20,1.9292,1.9369,1.9085,1.9251,20219,
2010-08-23,1.8696,1.882,1.83,1.8336,37407,
2010-08-24,1.8328,1.8382,1.8,1.8093,38157,
2010-08-25,1.809,1.84,1.7849,1.835,42662,
2010-08-26,1.835,1.8762,1.83,1.86,43226,
2010-08-27,1.859,1.9259,1.845,1.9246,34535,
2010-08-30,1.93,1.93,1.895,1.9045,32287,
2010-08-31,1.9038,1.92,1.845,1.856,44021,
2010-09-01,1.8555,1.9077,1.8535,1.885,46777,
2010-09-02,1.8869,1.9274,1.8737,1.917,32551,
2010-09-03,1.9165,1.93,1.875,1.9153,34881,
2010-09-06,1.9165,1.9251,1.9047,1.9064,3054,
2010-09-07,1.9102,1.9661,1.88,1.925,48322,
2010-09-08,1.9264,1.96,1.9085,1.9436,32236,
2010-09-09,1.9443,1.9655,1.9233,1.9431,31947,
2010-09-10,1.9421,1.98,1.94,1.975,42020,
2010-09-13,1.9796,2.015,1.9749,1.9796,41361,
2010-09-14,1.9796,2.0001,1.955,1.96,37509,
2010-09-15,1.9622,1.9667,1.935,1.9539,34584,
2010-09-16,1.9525,1.9535,1.9,1.9275,40740,
2010-09-17,1.9275,1.9509,1.8998,1.9189,21805,
2010-09-20,1.9205,1.9724,1.9151,1.948,20906,
2010-09-21,1.9473,1.967,1.9115,1.9125,17323,
2010-09-22,1.9125,1.934,1.8799,1.9051,22548,
2010-09-23,1.9044,1.9272,1.8725,1.9064,35792,
2010-09-24,1.9067,1.955,1.905,1.9405,32952,
2010-09-27,1.945,1.95,1.91,1.9295,34198,
2010-09-28,1.9341,1.9664,1.9191,1.94,41680,
2010-09-29,1.9423,1.9908,1.915,1.9845,52565,
2010-09-30,1.9826,2.0403,1.9766,2.035,46300,
2010-10-01,2.0345,2.095,2.0325,2.094,49924,
2010-10-04,2.0962,2.1215,2.075,2.0877,45362,
2010-10-05,2.0885,2.1267,2.084,2.1238,36295,
2010-10-06,2.1259,2.165,2.1117,2.1598,39908,
2010-10-07,2.1598,2.2011,2.105,2.1146,56393,
2010-10-08,2.1159,2.1569,2.0923,2.1533,40501,
2010-10-11,2.1608,2.175,2.14,2.1609,34692,
2010-10-12,2.1603,2.1619,2.1177,2.1231,39712,
2010-10-13,2.123,2.17,2.1226,2.1667,32507,
2010-10-14,2.1675,2.185,2.1183,2.1365,36649,
2010-10-15,2.1337,2.155,2.0943,2.105,34232,
2010-10-18,2.102,2.1562,2.09,2.1505,21276,
2010-10-19,2.1515,2.1535,2.0368,2.0415,35338,
2010-10-20,2.0419,2.0876,2.0376,2.0868,22236,
