date,open,high,low,close,volume,suspicious_flag
2010-06-07,17.485,18.295,17.195,18.14,36262.0,
2010-06-08,18.14,18.49,18.085,18.295,26742.0,
2010-06-09,18.3,18.375,18.095,18.155,21702.0,
2010-06-10,18.145,18.445,17.905,18.275,25160.0,
2010-06-11,18.275,18.535,18.07,18.235,21083.0,
2010-06-14,18.33,18.57,18.2,18.26,18374.0,
2010-06-15,18.265,18.685,18.25,18.545,19437.0,
2010-06-16,18.545,18.66,18.38,18.465,14657.0,
2010-06-17,18.47,18.88,18.315,18.75,25183.0,
2010-06-18,18.75,19.275,18.7,19.175,24573.0,
2010-06-21,19.22,19.46,18.645,18.77,30561.0,
2010-06-22,18.775,18.985,18.59,18.83,21737.0,
2010-06-23,18.81,18.96,18.31,18.525,27879.0,
2010-06-24,18.545,18.81,18.17,18.73,27369.0,
2010-06-25,18.735,19.13,18.59,19.055,19940.0,
2010-06-28,19.12,19.23,18.625,18.705,17956.0,
2010-06-29,18.735,18.75,18.37,18.47,4872.0,
2010-06-30,18.47,18.77,18.45,18.61,554.0,
2010-07-01,18.64,18.69,17.735,17.87,42770.0,
2010-07-02,17.86,18.115,17.635,17.89,27579.0,
2010-07-05,17.86,17.93,17.74,17.81,3739.0,
2010-07-06,17.78,18.0,17.6,17.83,111.0,
2010-07-07,17.825,18.11,17.565,18.11,23336.0,
2010-07-08,18.11,18.2,17.725,17.92,19376.0,
2010-07-09,17.91,18.235,17.83,18.165,15601.0,
2010-07-12,18.1,18.155,17.775,17.91,17357.0,
2010-07-13,17.91,18.355,17.87,18.27,19261.0,
2010-07-14,18.27,18.49,18.115,18.325,23204.0,
2010-07-15,18.34,18.535,18.17,18.355,22205.0,
2010-07-16,18.355,18.365,17.73,17.87,27585.0,
2010-07-19,17.84,17.92,17.44,17.6,25399.0,
2010-07-20,17.6,17.795,17.45,17.79,22106.0,
2010-07-21,17.79,17.9,17.575,17.66,20712.0,
2010-07-22,17.66,18.2,17.635,18.13,26666.0,
2010-07-23,18.13,18.28,18.06,18.125,22849.0,
2010-07-26,18.175,18.27,17.975,18.17,18808.0,
2010-07-27,18.16,18.235,17.58,17.67,32486.0,
2010-07-28,17.67,17.74,17.325,17.53,26724.0,
2010-07-29,17.525,17.695,17.48,17.58,20418.0,
2010-07-30,17.57,18.125,17.54,18.0,29307.0,
