date,open,high,low,close,volume,suspicious_flag
2010-01-04,16.995,17.59,16.915,17.485,1203.0,
2010-01-05,17.66,17.895,17.555,17.822,478.0,
2010-01-06,17.85,18.255,17.8,18.198,854.0,
2010-01-07,18.205,18.395,18.09,18.368,756.0,
2010-01-08,18.13,18.53,18.09,18.493,340.0,
2010-01-11,18.68,18.9,18.6,18.719,2903.0,
2010-01-12,18.67,18.8,18.23,18.278,1588.0,
2010-01-13,18.315,18.64,18.25,18.573,559.0,
2010-01-14,18.66,18.76,18.48,18.678,772.0,
2010-01-15,18.6,18.62,18.425,18.45,2691.0,
2010-01-19,18.5,18.88,18.5,18.824,5457.0,
2010-01-20,18.875,18.875,17.84,17.901,5759.0,
2010-01-21,18.01,18.08,17.385,17.531,3754.0,
2010-01-22,17.435,17.51,16.95,16.952,2163.0,
2010-01-25,17.025,17.295,17.02,17.167,980.0,
2010-01-26,17.24,17.285,16.375,16.882,2286.0,
2010-01-27,16.85,16.975,16.46,16.461,578.0,
2010-01-28,16.64,16.77,16.04,16.233,2914.0,
2010-01-29,16.255,16.38,16.05,16.211,1289.0,
2010-02-01,16.22,16.715,16.13,16.682,2762.0,
2010-02-02,16.675,16.815,16.605,16.766,2546.0,
2010-02-03,16.77,16.96,16.33,16.34,1207.0,
2010-02-04,16.43,16.43,15.215,15.371,5465.0,
2010-02-05,15.34,15.4,14.68,14.851,5757.0,
2010-02-08,15.2,15.315,14.99,15.109,5198.0,
2010-02-09,15.05,15.6,15.04,15.46,7785.0,
2010-02-10,15.5,15.65,15.11,15.325,7729.0,
2010-02-11,15.245,15.745,15.205,15.616,7455.0,
2010-02-12,15.74,15.74,15.24,15.472,3861.0,
2010-02-16,15.6,16.24,15.5,16.175,11866.0,
2010-02-17,16.18,16.355,15.865,16.123,12705.0,
2010-02-18,15.875,16.265,15.7,16.085,10529.0,
2010-02-19,15.855,16.535,15.785,16.439,7450.0,
2010-02-22,16.425,16.595,16.165,16.248,16037.0,
2010-02-23,16.24,16.46,15.81,15.913,21793.0,
2010-02-24,15.905,16.02,15.65,15.963,30078.0,
2010-02-25,15.95,16.175,15.63,16.132,46680.0,
2010-02-26,16.115,16.55,16.045,16.521,30203.0,
2010-03-01,16.53,16.77,16.43,16.469,25616.0,
2010-03-02,16.47,17.105,16.33,17.064,34385.0,
2010-03-03,16.945,17.37,16.885,17.329,31912.0,
2010-03-04,17.2,17.395,17.055,17.176,29640.0,
2010-03-05,17.135,17.515,17.135,17.382,25922.0,
2010-03-08,17.39,17.53,17.125,17.272,27339.0,
2010-03-09,17.25,17.42,16.875,17.338,33935.0,
2010-03-10,17.28,17.665,16.94,17.018,43769.0,
2010-03-11,17.02,17.195,16.835,17.16,29549.0,
2010-03-12,17.21,17.35,16.96,17.048,27985.0,
2010-03-15,17.065,17.18,16.965,17.108,18346.0,
2010-03-16,17.13,17.495,17.13,17.354,26919.0,
2010-03-17,17.45,17.6,17.365,17.523,24405.0,
2010-03-18,17.52,17.56,17.325,17.422,24390.0,
2010-03-19,17.41,17.42,16.965,17.032,34994.0,
2010-03-22,17.01,17.01,16.62,16.935,31756.0,
2010-03-23,17.0,17.15,16.735,17.027,28490.0,
2010-03-24,17.015,17.045,16.55,16.641,27078.0,
2010-03-25,16.575,16.86,16.555,16.741,27021.0,
2010-03-26,16.63,16.99,16.565,16.906,29725.0,
2010-03-29,16.98,17.44,16.935,17.387,31982.0,
2010-03-30,17.38,17.5,17.26,17.357,2239.0,
2010-03-31,17.33,17.67,17.33,17.553,2962.0,
2010-04-01,17.51,18.015,17.51,17.918,1848.0,
2010-04-05,17.85,18.165,17.85,18.146,3672.0,
2010-04-06,18.105,18.125,17.88,17.958,4414.0,
2010-04-07,17.975,18.27,17.955,18.226,4434.0,
2010-04-08,18.15,18.185,17.96,18.156,6100.0,
2010-04-09,18.08,18.465,18.08,18.381,5622.0,
2010-04-12,18.5,18.65,18.19,18.444,6834.0,
2010-04-13,18.24,18.35,17.98,18.277,10899.0,
2010-04-14,18.255,18.525,18.25,18.444,9664.0,
2010-04-15,18.475,18.565,18.255,18.463,3159.0,
2010-04-16,18.43,18.435,17.635,17.702,8332.0,
2010-04-19,17.705,17.8,17.515,17.758,5055.0,
2010-04-20,17.8,18.065,17.76,17.851,13534.0,
2010-04-21,17.895,18.165,17.745,18.109,9539.0,
2010-04-22,18.095,18.2,17.8,18.039,10443.0,
2010-04-23,18.02,18.385,17.88,18.223,12885.0,
2010-04-26,18.38,18.45,18.275,18.369,20273.0,
2010-04-27,18.345,18.45,18.09,18.149,17618.0,
2010-04-28,18.235,18.285,17.85,18.135,33437.0,
2010-04-29,18.13,18.6,18.085,18.579,37867.0,
2010-04-30,18.505,18.79,18.48,18.639,31088.0,
2010-05-03,18.685,18.89,18.53,18.84,22953.0,
2010-05-04,18.84,18.85,17.81,17.842,52694.0,
2010-05-05,17.865,17.895,17.08,17.534,61742.0,
2010-05-06,17.515,17.775,17.26,17.515,51535.0,
2010-05-07,17.585,18.69,17.475,18.451,55541.0,
2010-05-10,18.575,18.68,18.215,18.552,31061.0,
2010-05-11,18.51,19.425,18.405,19.294,55595.0,
2010-05-12,19.36,19.735,19.11,19.663,41778.0,
2010-05-13,19.53,19.845,19.345,19.499,41261.0,
2010-05-14,19.47,19.735,18.975,19.225,45516.0,
2010-05-17,19.33,19.445,18.735,18.859,35218.0,
2010-05-18,18.895,19.145,18.65,18.879,36319.0,
2010-05-19,19.01,19.01,17.92,18.115,55949.0,
2010-05-20,18.205,18.33,17.485,17.715,50571.0,
2010-05-21,17.63,17.895,17.41,17.651,38170.0,
2010-05-24,17.655,18.08,17.65,18.0,25801.0,
2010-05-25,17.915,17.99,17.53,17.781,34394.0,
2010-05-26,17.98,18.41,17.93,18.306,36084.0,
2010-05-27,18.095,18.6,18.055,18.506,2293.0,
2010-05-28,18.6,18.66,18.28,18.461,2949.0,
2010-06-01,18.47,18.775,18.32,18.591,4150.0,
2010-06-02,18.52,18.525,18.15,18.355,2492.0,
2010-06-03,18.45,18.47,17.87,17.97,2581.0,
2010-06-04,17.96,18.005,17.325,17.338,2420.0,
2010-06-07,17.55,18.33,17.23,18.203,9701.0,
2010-06-08,18.24,18.535,18.14,18.52,8625.0,
2010-06-09,18.35,18.41,18.15,18.232,10506.0,
2010-06-10,18.235,18.48,17.955,18.394,7419.0,
2010-06-11,18.295,18.58,18.115,18.275,11608.0,
2010-06-14,18.325,18.615,18.25,18.455,5161.0,
2010-06-15,18.26,18.72,18.26,18.623,5405.0,
2010-06-16,18.63,18.7,18.44,18.486,10255.0,
2010-06-17,18.485,18.925,18.37,18.822,8226.0,
2010-06-18,18.8,19.315,18.75,19.231,14332.0,
2010-06-21,19.255,19.5,18.7,18.854,14619.0,
2010-06-22,18.75,19.02,18.635,18.947,11257.0,
