date,open,high,low,close,volume,suspicious_flag
2010-06-07,131.53125,132.25,130.15625,131.96875,5831,
2010-06-08,131.5,131.96875,130.875,131.4375,5961,
2010-06-09,131.375,131.53125,130.25,131.4375,9424,
2010-06-10,130.71875,131.21875,128.8125,128.90625,16318,
2010-06-11,128.96875,131.09375,128.96875,130.59375,8249,
2010-06-14,130.0625,130.21875,128.9375,130.09375,6421,
2010-06-15,130.5,130.5,128.75,129.3125,7208,
2010-06-16,129.4375,130.65625,129.21875,130.09375,9983,
2010-06-17,130.4375,131.71875,129.5625,131.46875,11540,
2010-06-18,131.375,131.9375,130.8125,131.0625,5730,
2010-06-21,130.0625,130.75,129.0,130.625,11761,
2010-06-22,130.40625,132.09375,130.28125,131.96875,9301,
2010-06-23,131.96875,133.4375,131.53125,132.8125,9277,
2010-06-24,133.0,133.625,131.75,131.75,11262,
2010-06-25,132.125,133.125,131.40625,132.84375,8041,
2010-06-28,132.84375,134.0,132.84375,134.0,10483,
2010-06-29,133.96875,135.40625,133.96875,135.40625,15399,
2010-06-30,135.4375,136.25,134.84375,136.25,16139,
2010-07-01,136.6875,137.78125,135.9375,136.28125,17935,
2010-07-02,135.875,137.0,135.15625,135.1875,9383,
2010-07-05,135.625,136.5,135.53125,136.5,18,
2010-07-06,136.15625,136.625,135.3125,136.46875,9693,
2010-07-07,136.375,136.65625,134.75,135.03125,8365,
2010-07-08,134.84375,135.34375,133.78125,133.8125,12207,
2010-07-09,133.6875,134.1875,133.1875,133.40625,6581,
2010-07-12,133.34375,134.1875,132.9375,132.9375,8359,
2010-07-13,133.3125,133.5,131.78125,131.78125,9594,
2010-07-14,132.0625,133.71875,132.0,133.53125,16986,
2010-07-15,133.84375,135.0625,133.0625,134.46875,16124,
2010-07-16,134.53125,135.875,134.1875,135.71875,12067,
2010-07-19,135.28125,135.46875,134.40625,134.90625,10240,
2010-07-20,134.90625,135.6875,134.71875,135.0,14349,
2010-07-21,134.9375,137.4375,134.6875,136.75,12003,
2010-07-22,137.03125,137.03125,135.34375,135.34375,7690,
2010-07-23,135.125,135.59375,133.90625,134.03125,9238,
2010-07-26,134.25,134.25,132.96875,133.9375,7359,
2010-07-27,133.34375,133.34375,132.34375,132.65625,14938,
2010-07-28,132.625,133.28125,132.0,133.03125,15321,
2010-07-29,132.90625,133.125,131.625,132.84375,24630,
2010-07-30,133.15625,135.3125,133.03125,134.9375,17109,
2010-08-02,134.71875,134.71875,133.25,133.5,12298,
2010-08-03,133.5,134.46875,133.5,133.875,12112,
2010-08-04,133.8125,134.65625,133.0,133.125,15694,
2010-08-05,133.15625,134.28125,133.15625,133.84375,10900,
2010-08-06,133.59375,135.15625,133.59375,134.84375,18253,
2010-08-09,134.75,134.90625,134.15625,134.5,9383,
2010-08-10,134.71875,136.21875,134.1875,134.875,26372,
2010-08-11,134.8125,136.75,134.78125,136.75,22891,
2010-08-12,136.78125,137.5,136.09375,136.1875,29129,
2010-08-13,136.4375,138.21875,136.4375,138.15625,21132,
2010-08-16,138.53125,141.6875,138.3125,141.4375,32306,
2010-08-17,141.5,141.59375,140.375,140.5625,25913,
2010-08-18,140.625,142.625,140.625,141.15625,27430,
2010-08-19,141.40625,143.96875,140.6875,143.0,29263,
2010-08-20,143.0,144.40625,142.90625,143.0625,28514,
2010-08-23,143.1875,143.65625,142.1875,143.15625,14448,
2010-08-24,143.40625,145.78125,143.40625,145.34375,19748,
2010-08-25,145.15625,147.65625,144.375,144.78125,26797,
2010-08-26,144.96875,146.46875,144.625,146.46875,19304,
2010-08-27,146.25,146.5,141.875,142.28125,31762,
2010-08-30,141.9375,144.96875,141.59375,144.84375,15360,
2010-08-31,145.59375,146.65625,145.09375,145.78125,3857,
2010-09-01,145.375,145.75,142.65625,143.375,2010,
2010-09-02,141.71875,142.28125,139.75,140.3125,37450,
2010-09-03,140.34375,140.65625,136.875,138.8125,32340,
2010-09-06,139.0625,139.34375,138.8125,139.3125,183,
2010-09-07,139.03125,141.59375,138.875,141.53125,16785,
2010-09-08,141.59375,141.96875,139.75,140.09375,17799,
2010-09-09,140.3125,140.59375,137.40625,137.53125,22102,
2010-09-10,137.6875,138.0625,136.34375,136.875,19346,
2010-09-13,136.34375,138.0625,135.5625,137.40625,20837,
2010-09-14,137.53125,138.96875,137.03125,138.5625,20425,
2010-09-15,138.34375,138.34375,136.78125,136.9375,28155,
2010-09-16,137.03125,137.40625,135.125,135.75,33724,
2010-09-17,135.8125,137.375,135.28125,136.34375,26689,
2010-09-20,137.03125,137.1875,136.15625,136.875,19737,
2010-09-21,137.0625,139.34375,136.875,138.9375,30247,
2010-09-22,139.09375,140.625,139.03125,139.625,26197,
2010-09-23,139.8125,141.375,139.46875,140.375,19856,
2010-09-24,140.375,140.46875,138.5625,138.6875,17091,
2010-09-27,138.75,141.09375,138.75,140.375,15699,
2010-09-28,140.21875,142.25,140.0,141.84375,21050,
2010-09-29,141.875,142.34375,140.96875,141.25,19025,
2010-09-30,141.5625,142.0,139.1875,141.28125,40610,
2010-10-01,141.125,141.625,139.625,140.625,24097,
2010-10-04,141.0625,141.75,140.34375,140.84375,28521,
2010-10-05,140.9375,141.75,139.71875,139.96875,38528,
2010-10-06,140.28125,142.5625,140.0625,141.84375,34155,
2010-10-07,141.8125,142.09375,140.6875,140.84375,22925,
2010-10-08,140.9375,141.625,140.03125,140.15625,29533,
2010-10-11,140.25,140.28125,139.75,140.125,1528,
2010-10-12,140.3125,141.125,138.46875,138.46875,27964,
2010-10-13,138.71875,138.875,137.21875,138.625,32960,
2010-10-14,138.5,139.34375,136.40625,136.65625,40383,
2010-10-15,136.9375,137.3125,134.46875,135.15625,59735,
2010-10-18,135.25,136.5,135.25,135.71875,20165,
