date,open,high,low,close,volume,suspicious_flag
2010-01-05,96.14,96.17,96.14,96.16,547.0,
2010-01-06,96.18,96.2,96.17,96.18,1251.0,
2010-01-07,96.2,96.2,96.18,96.19,780.0,
2010-01-08,96.22,96.23,96.2,96.21,658.0,
2010-01-11,96.27,96.27,96.21,96.22,414.0,
2010-01-12,96.2,96.24,96.2,96.24,510.0,
2010-01-13,96.24,96.26,96.24,96.26,458.0,
2010-01-14,96.26,96.27,96.22,96.24,495.0,
2010-01-15,96.24,96.26,96.24,96.26,828.0,
2010-01-18,96.24,96.29,96.24,96.27,797.0,
2010-01-19,96.27,96.27,96.23,96.24,2939.0,
2010-01-20,96.24,96.39,96.21,96.38,5307.0,
2010-01-21,96.38,96.45,96.37,96.38,4075.0,
2010-01-22,96.38,96.44,96.38,96.43,3700.0,
2010-01-25,96.45,96.46,96.43,96.44,2687.0,
2010-01-26,96.44,96.45,96.43,96.44,1277.0,
2010-01-27,96.44,96.47,96.44,96.45,3268.0,
2010-01-28,96.46,96.47,96.42,96.45,4011.0,
2010-01-29,96.45,96.51,96.44,96.49,2364.0,
2010-02-01,96.49,96.52,96.47,96.49,3432.0,
2010-02-02,96.49,96.49,96.47,96.48,3338.0,
2010-02-03,96.55,96.56,96.53,96.56,2542.0,
2010-02-04,96.54,96.67,96.54,96.66,7855.0,
2010-02-05,96.65,96.69,96.63,96.68,5942.0,
2010-02-08,96.69,96.69,96.67,96.69,4750.0,
2010-02-09,96.68,96.71,96.66,96.71,2708.0,
2010-02-10,96.69,96.69,96.66,96.68,2118.0,
2010-02-11,96.66,96.69,96.65,96.66,4138.0,
2010-02-12,96.65,96.76,96.65,96.74,6127.0,
2010-02-15,96.85,96.85,96.76,96.78,604.0,
2010-02-16,96.77,96.81,96.77,96.81,2372.0,
2010-02-17,96.8,96.8,96.79,96.8,2167.0,
2010-02-18,96.78,96.8,96.78,96.8,2824.0,
2010-02-19,96.79,96.8,96.78,96.8,1239.0,
2010-02-22,96.8,96.82,96.8,96.82,559.0,
2010-02-23,96.82,96.84,96.82,96.85,1219.0,
2010-02-24,96.85,96.88,96.85,96.88,1954.0,
2010-02-25,96.88,96.89,96.86,96.87,1861.0,
2010-02-26,96.9,96.91,96.87,96.9,509.0,
2010-03-01,96.88,96.89,96.88,96.89,868.0,
2010-03-02,96.93,96.93,96.85,96.88,1233.0,
2010-03-03,96.88,96.9,96.87,96.91,2974.0,
2010-03-04,96.91,96.91,96.89,96.92,3060.0,
2010-03-05,96.91,96.91,96.89,96.91,1058.0,
2010-03-08,96.91,96.91,96.89,96.9,3143.0,
2010-03-09,96.9,96.9,96.87,96.87,2282.0,
2010-03-10,96.88,96.89,96.84,96.85,4527.0,
2010-03-11,96.25,96.37,96.24,96.34,2787.0,
2010-03-12,96.33,96.33,96.31,96.32,1330.0,
2010-03-15,96.31,96.35,96.31,96.33,711.0,
2010-03-16,96.33,96.38,96.33,96.37,720.0,
2010-03-17,96.37,96.39,96.37,96.38,1247.0,
2010-03-18,96.38,96.38,96.35,96.36,2263.0,
2010-03-19,96.35,96.35,96.34,96.35,1291.0,
2010-03-22,96.35,96.36,96.35,96.35,1253.0,
2010-03-23,96.38,96.38,96.35,96.35,1565.0,
2010-03-24,96.37,96.37,96.33,96.34,2017.0,
2010-03-25,96.33,96.33,96.27,96.3,3716.0,
2010-03-26,96.28,96.33,96.28,96.32,3245.0,
2010-03-29,96.32,96.34,96.32,96.32,2090.0,
2010-03-30,96.32,96.34,96.3,96.34,1127.0,
2010-03-31,96.35,96.37,96.35,96.37,1401.0,
2010-04-01,96.39,96.4,96.39,96.41,2288.0,
2010-04-02,96.39,96.4,96.39,96.41,1337.0,
2010-04-06,96.39,96.4,96.39,96.39,676.0,
2010-04-07,96.38,96.41,96.38,96.41,1073.0,
2010-04-08,96.41,96.46,96.41,96.45,1460.0,
2010-04-09,96.45,96.45,96.44,96.45,2004.0,
2010-04-12,96.45,96.45,96.43,96.44,2210.0,
2010-04-13,96.44,96.46,96.44,96.46,3009.0,
2010-04-14,96.46,96.51,96.45,96.5,6305.0,
2010-04-15,96.49,96.51,96.48,96.51,5497.0,
2010-04-16,96.51,96.52,96.49,96.52,1701.0,
2010-04-19,96.52,96.54,96.52,96.54,3002.0,
2010-04-20,96.55,96.62,96.51,96.59,8085.0,
2010-04-21,96.58,96.59,96.56,96.56,8942.0,
2010-04-22,96.57,96.57,96.53,96.54,4662.0,
2010-04-23,96.6,96.6,96.52,96.56,2772.0,
2010-04-26,96.54,96.54,96.51,96.52,3084.0,
2010-04-27,96.51,96.51,96.47,96.49,4782.0,
2010-04-28,96.46,96.53,96.46,96.49,5291.0,
2010-04-29,96.48,96.54,96.45,96.48,6074.0,
2010-04-30,96.46,96.47,96.43,96.45,5140.0,
2010-05-03,96.41,96.42,96.4,96.41,4180.0,
2010-05-04,96.41,96.43,96.4,96.42,4679.0,
2010-05-05,96.41,96.47,96.41,96.45,3697.0,
2010-05-06,96.44,96.46,96.27,96.28,10537.0,
2010-05-07,96.29,96.44,96.28,96.37,13143.0,
2010-05-10,96.32,96.34,96.3,96.31,6492.0,
2010-05-11,96.33,96.36,96.28,96.36,4527.0,
2010-05-12,96.34,96.39,96.34,96.39,3294.0,
2010-05-13,96.39,96.39,96.35,96.37,2468.0,
2010-05-14,96.33,96.39,96.33,96.38,2688.0,
2010-05-17,96.39,96.48,96.39,96.48,4388.0,
2010-05-18,96.47,96.47,96.41,96.46,4492.0,
2010-05-19,96.46,96.54,96.46,96.51,3067.0,
2010-05-20,96.55,96.56,96.44,96.45,5231.0,
2010-05-21,96.46,96.66,96.46,96.57,7716.0,
2010-05-24,96.59,96.59,96.55,96.58,6197.0,
2010-05-25,96.56,96.61,96.51,96.6,5300.0,
2010-05-26,96.64,96.64,96.55,96.58,5819.0,
2010-05-27,96.57,96.58,96.51,96.52,5286.0,
2010-05-28,96.51,96.51,96.45,96.49,6047.0,
2010-05-31,96.48,96.49,96.42,96.43,4521.0,
2010-06-01,96.42,96.43,96.38,96.42,4147.0,
2010-06-02,96.43,96.44,96.4,96.42,5218.0,
2010-06-03,96.39,96.41,96.36,96.39,3099.0,
2010-06-04,96.41,96.44,96.39,96.43,1724.0,
2010-06-07,96.41,96.45,96.41,96.45,839.0,
2010-06-08,96.46,96.53,96.46,96.49,3110.0,
2010-06-09,96.51,96.51,96.45,96.47,4268.0,
2010-06-10,96.46,96.46,96.36,96.42,5410.0,
2010-06-11,96.4,96.4,96.38,96.4,6666.0,
2010-06-14,96.39,96.41,96.39,96.41,3787.0,
2010-06-15,96.48,96.48,96.39,96.41,2510.0,
2010-06-16,96.4,96.4,96.38,96.39,5003.0,
2010-06-17,96.02,96.03,96.01,96.03,1336.0,
2010-06-18,96.04,96.04,96.02,96.03,990.0,
2010-06-21,95.98,96.0,95.98,96.0,1620.0,
2010-06-22,95.96,96.02,95.96,96.02,1515.0,
2010-06-23,96.03,96.05,96.03,96.05,958.0,
2010-06-24,96.05,96.05,96.02,96.03,1043.0,
2010-06-25,96.07,96.07,96.03,96.04,2799.0,
2010-06-28,96.04,96.06,96.03,96.04,3652.0,
2010-06-29,96.07,96.1,96.07,96.1,1468.0,
2010-06-30,96.11,96.17,96.11,96.15,3327.0,
2010-07-01,96.15,96.19,96.13,96.19,4919.0,
2010-07-02,96.19,96.2,96.13,96.15,3186.0,
2010-07-05,96.15,96.17,96.13,96.14,2228.0,
2010-07-06,96.16,96.18,96.16,96.17,2764.0,
2010-07-07,96.17,96.18,96.15,96.18,1854.0,
2010-07-08,96.17,96.18,96.12,96.14,2828.0,
2010-07-09,96.13,96.13,96.11,96.11,3006.0,
2010-07-12,96.1,96.1,96.09,96.09,1689.0,
2010-07-13,96.1,96.1,96.08,96.1,2146.0,
2010-07-14,96.08,96.09,96.06,96.07,3768.0,
2010-07-15,96.06,96.09,96.05,96.09,4361.0,
2010-07-16,96.07,96.14,96.07,96.15,4581.0,
2010-07-19,96.18,96.2,96.18,96.2,4764.0,
2010-07-20,96.17,96.17,96.14,96.15,2273.0,
2010-07-21,96.15,96.15,96.12,96.15,2014.0,
2010-07-22,96.14,96.19,96.14,96.19,3483.0,
2010-07-23,96.19,96.19,96.15,96.16,3742.0,
2010-07-26,96.12,96.14,96.12,96.14,528.0,
2010-07-27,96.15,96.15,96.12,96.13,1570.0,
2010-07-28,96.11,96.25,96.11,96.17,2903.0,
2010-07-29,96.15,96.27,96.14,96.27,4581.0,
2010-07-30,96.27,96.35,96.27,96.32,2755.0,
2010-08-02,96.32,96.32,96.3,96.31,3281.0,
2010-08-03,96.33,96.33,96.28,96.3,1347.0,
2010-08-04,96.3,96.32,96.3,96.33,4422.0,
2010-08-05,96.31,96.42,96.29,96.39,6044.0,
2010-08-06,96.38,96.41,96.38,96.4,5718.0,
2010-08-09,96.41,96.45,96.41,96.42,4880.0,
2010-08-10,96.42,96.42,96.39,96.4,3027.0,
2010-08-11,96.41,96.45,96.41,96.43,3871.0,
2010-08-12,96.44,96.55,96.44,96.52,4161.0,
2010-08-13,96.51,96.53,96.48,96.52,3074.0,
2010-08-16,96.54,96.57,96.54,96.54,1627.0,
2010-08-17,96.56,96.58,96.55,96.55,1688.0,
2010-08-18,96.54,96.54,96.52,96.52,2077.0,
2010-08-19,96.54,96.56,96.52,96.57,1358.0,
2010-08-20,96.55,96.61,96.55,96.59,2275.0,
2010-08-23,96.59,96.59,96.58,96.57,53.0,
2010-08-24,96.56,96.59,96.55,96.57,3073.0,
2010-08-25,96.62,96.64,96.61,96.64,4215.0,
2010-08-26,96.63,96.64,96.62,96.63,2475.0,
2010-08-27,96.63,96.65,96.63,96.63,2495.0,
2010-08-30,96.63,96.63,96.58,96.61,2751.0,
2010-08-31,96.64,96.7,96.64,96.69,3835.0,
2010-09-01,96.71,96.71,96.65,96.65,3353.0,
2010-09-02,96.63,96.64,96.61,96.64,1928.0,
2010-09-03,96.63,96.63,96.6,96.61,2381.0,
2010-09-06,96.6,96.66,96.58,96.61,3278.0,
2010-09-07,96.62,96.63,96.58,96.61,4563.0,
2010-09-08,96.61,96.7,96.61,96.65,4141.0,
2010-09-09,96.63,96.63,96.6,96.62,4576.0,
2010-09-10,96.62,96.62,96.59,96.62,4933.0,
2010-09-13,96.62,96.68,96.59,96.6,4975.0,
2010-09-14,96.6,96.65,96.6,96.65,4015.0,
2010-09-15,96.64,96.68,96.64,96.66,4789.0,
2010-09-16,96.44,96.47,96.43,96.48,4637.0,
2010-09-17,96.46,96.46,96.44,96.45,3970.0,
2010-09-20,96.43,96.46,96.43,96.46,531.0,
2010-09-21,96.44,96.45,96.44,96.45,380.0,
2010-09-22,96.46,96.46,96.46,96.47,403.0,
2010-09-23,96.46,96.57,96.46,96.54,4385.0,
2010-09-24,96.54,96.57,96.54,96.57,4542.0,
2010-09-27,96.56,96.59,96.56,96.58,1076.0,
2010-09-28,96.56,96.59,96.56,96.59,2021.0,
2010-09-29,96.59,96.63,96.59,96.59,932.0,
2010-09-30,96.63,96.63,96.58,96.6,1992.0,
2010-10-01,96.63,96.63,96.58,96.58,811.0,
2010-10-04,96.58,96.58,96.54,96.54,1662.0,
2010-10-05,96.56,96.58,96.55,96.56,1335.0,
2010-10-06,96.56,96.58,96.54,96.55,1984.0,
2010-10-07,96.56,96.56,96.55,96.55,1967.0,
2010-10-08,96.55,96.55,96.55,96.56,734.0,
2010-10-11,96.56,96.59,96.55,96.59,254.0,
2010-10-12,96.56,96.58,96.56,96.59,627.0,
2010-10-13,96.57,96.62,96.57,96.61,1141.0,
2010-10-14,96.58,96.61,96.58,96.6,1006.0,
2010-10-15,96.59,96.6,96.59,96.61,1855.0,
2010-10-18,96.62,96.62,96.58,96.6,915.0,
2010-10-19,96.58,96.63,96.58,96.62,948.0,
2010-10-20,96.61,96.63,96.61,96.61,105.0,
2010-10-21,96.61,96.62,96.61,96.62,731.0,
2010-10-22,96.62,96.62,96.61,96.63,205.0,
2010-10-25,96.62,96.62,96.58,96.62,325.0,
2010-10-26,96.61,96.64,96.58,96.63,1736.0,
2010-10-27,96.61,96.62,96.6,96.6,656.0,
2010-10-28,96.6,96.62,96.57,96.57,2883.0,
2010-10-29,96.59,96.6,96.58,96.58,622.0,
2010-11-01,96.55,96.56,96.54,96.56,3016.0,
2010-11-02,96.58,96.58,96.55,96.56,2317.0,
2010-11-03,96.56,96.56,96.53,96.55,2634.0,
2010-11-04,96.54,96.54,96.47,96.49,1954.0,
2010-11-05,96.48,96.5,96.48,96.5,2632.0,
2010-11-08,96.49,96.5,96.49,96.51,2365.0,
2010-11-09,96.51,96.53,96.51,96.53,2265.0,
2010-11-10,96.54,96.59,96.54,96.57,2380.0,
2010-11-11,96.57,96.59,96.57,96.6,2855.0,
2010-11-12,96.56,96.59,96.56,96.6,755.0,
2010-11-15,96.61,96.61,96.59,96.59,1408.0,
2010-11-16,96.59,96.59,96.58,96.59,625.0,
2010-11-17,96.6,96.6,96.57,96.6,2374.0,
2010-11-18,96.59,96.6,96.57,96.58,786.0,
2010-11-19,96.57,96.6,96.57,96.59,1878.0,
2010-11-22,96.59,96.65,96.59,96.62,2399.0,
2010-11-23,96.64,96.67,96.64,96.67,6867.0,
2010-11-24,96.7,96.7,96.65,96.68,2505.0,
2010-11-25,96.65,96.67,96.65,96.66,4065.0,
2010-11-26,96.66,96.68,96.66,96.67,486.0,
2010-11-29,96.69,96.7,96.67,96.67,3780.0,
2010-11-30,96.66,96.7,96.66,96.7,4510.0,
2010-12-01,96.68,96.71,96.68,96.71,3304.0,
2010-12-02,96.72,96.72,96.69,96.71,3068.0,
2010-12-03,96.69,96.71,96.69,96.7,886.0,
2010-12-06,96.7,96.71,96.7,96.72,3956.0,
2010-12-07,96.72,96.72,96.71,96.72,1992.0,
2010-12-08,96.71,96.72,96.7,96.71,5845.0,
2010-12-09,96.71,96.77,96.71,96.76,7197.0,
2010-12-10,96.75,96.78,96.75,96.78,4035.0,
2010-12-13,96.78,96.8,96.77,96.78,2419.0,
2010-12-14,96.77,96.8,96.77,96.78,2824.0,
2010-12-15,96.79,96.79,96.77,96.79,3487.0,
2010-12-16,96.61,96.62,96.58,96.61,1284.0,
2010-12-17,96.58,96.62,96.58,96.61,2129.0,
2010-12-20,96.57,96.63,96.57,96.63,3633.0,
2010-12-21,96.64,96.66,96.62,96.63,2378.0,
2010-12-22,96.66,96.67,96.62,96.65,3133.0,
2010-12-23,96.62,96.67,96.62,96.65,3803.0,
2010-12-24,96.62,96.67,96.62,96.65,2291.0,
2010-12-27,96.62,96.67,96.62,96.65,600.0,
2010-12-28,96.63,96.65,96.63,96.65,92.0,
2010-12-29,96.64,96.65,96.64,96.65,104.0,
2010-12-30,96.64,96.64,96.64,96.66,72.0,
2010-12-31,96.64,96.64,96.64,96.66,80.0,
2011-01-03,96.64,96.64,96.64,96.66,2.0,
2011-01-04,96.68,96.68,96.65,96.66,810.0,
2011-01-05,96.66,96.68,96.66,96.66,775.0,
2011-01-06,96.66,96.67,96.65,96.67,382.0,
2011-01-07,96.67,96.67,96.66,96.68,1095.0,
2011-01-10,96.68,96.68,96.66,96.68,877.0,
2011-01-11,96.67,96.68,96.66,96.67,1175.0,
2011-01-12,96.66,96.68,96.62,96.63,3318.0,
2011-01-13,96.66,96.66,96.61,96.61,2845.0,
2011-01-14,96.61,96.63,96.6,96.62,1655.0,
2011-01-17,96.62,96.63,96.59,96.62,1610.0,
2011-01-18,96.6,96.64,96.6,96.62,468.0,
2011-01-19,96.64,96.66,96.6,96.65,822.0,
2011-01-20,96.6,96.67,96.6,96.66,2831.0,
2011-01-21,96.64,96.66,96.64,96.67,2306.0,
2011-01-24,96.66,96.68,96.66,96.68,282.0,
2011-01-25,96.68,96.7,96.68,96.69,1817.0,
2011-01-26,96.69,96.72,96.66,96.68,1678.0,
2011-01-27,96.69,96.72,96.66,96.69,2084.0,
2011-01-28,96.66,96.67,96.66,96.7,1267.0,
2011-01-31,96.7,96.71,96.68,96.7,530.0,
2011-02-01,96.7,96.72,96.68,96.7,1883.0,
2011-02-02,96.69,96.75,96.69,96.74,2315.0,
2011-02-03,96.7,96.75,96.69,96.75,3290.0,
2011-02-04,96.74,96.75,96.74,96.75,95.0,
2011-02-07,96.74,96.75,96.74,96.74,523.0,
2011-02-08,96.74,96.74,96.72,96.73,933.0,
2011-02-09,96.72,96.75,96.72,96.74,1223.0,
2011-02-10,96.74,96.76,96.74,96.76,1526.0,
2011-02-11,96.74,96.74,96.74,96.74,750.0,
2011-02-14,96.76,96.77,96.75,96.76,483.0,
2011-02-15,96.76,96.77,96.76,96.77,1412.0,
2011-02-16,96.76,96.78,96.76,96.77,1753.0,
2011-02-17,96.78,96.78,96.76,96.77,1435.0,
2011-02-18,96.76,96.76,96.76,96.77,355.0,
2011-02-21,96.77,96.89,96.75,96.87,749.0,
2011-02-22,96.75,97.05,96.75,97.01,8841.0,
2011-02-23,96.93,97.12,96.87,97.1,11999.0,
2011-02-24,97.02,97.18,97.02,97.14,7864.0,
2011-02-25,97.1,97.18,97.09,97.15,5031.0,
2011-02-28,97.16,97.16,97.11,97.12,2001.0,
