date,open,high,low,close,volume,suspicious_flag
2010-06-07,339.25,339.5,335.25,336.75,106738,
2010-06-08,336.75,340.25,335.0,337.75,142868,
2010-06-09,337.5,341.25,336.5,337.5,108389,
2010-06-10,337.25,348.0,335.75,343.5,131873,
2010-06-11,343.5,349.75,343.25,348.75,79480,
2010-06-14,350.5,354.5,348.5,352.5,95515,
2010-06-15,352.5,355.0,350.75,354.5,82755,
2010-06-16,354.25,360.5,352.75,357.0,102104,
2010-06-17,357.0,360.0,354.25,357.0,89212,
2010-06-18,356.75,364.25,355.75,360.0,103490,
2010-06-21,364.5,367.25,351.25,354.0,126330,
2010-06-22,354.0,356.25,348.25,350.5,83042,
2010-06-23,350.5,351.75,345.75,346.75,84259,
2010-06-24,346.75,348.75,342.25,344.75,104144,
2010-06-25,344.75,346.25,339.5,340.0,74873,
2010-06-28,338.0,339.5,332.0,334.0,94782,
2010-06-29,334.25,334.5,324.5,325.5,84989,
2010-06-30,325.5,360.0,325.25,354.0,53258,
2010-07-01,362.75,375.25,359.75,371.5,87315,
2010-07-02,383.25,386.75,381.25,385.25,87558,
2010-07-05,382.25,383.5,379.0,383.0,6152,
2010-07-06,363.25,371.5,359.75,359.75,12729,
2010-07-07,379.5,391.0,379.25,389.25,103222,
2010-07-08,389.25,397.75,387.75,394.5,152423,
2010-07-09,394.5,398.0,392.25,396.0,96857,
2010-07-12,395.75,397.5,386.0,388.5,77759,
2010-07-13,389.0,395.0,386.0,387.5,126206,
2010-07-14,387.5,397.0,386.5,395.0,105485,
2010-07-15,395.25,410.0,395.0,404.5,174498,
2010-07-16,404.5,408.5,400.25,406.5,100248,
2010-07-19,400.25,403.5,389.25,389.75,118669,
2010-07-20,389.5,393.0,386.25,387.25,89148,
2010-07-21,387.25,395.0,387.25,393.25,72454,
2010-07-22,393.25,400.75,387.25,388.5,118888,
2010-07-23,388.5,394.0,383.25,384.25,103603,
2010-07-26,380.75,385.5,376.0,377.75,105900,
2010-07-27,377.75,384.5,376.0,377.0,80186,
2010-07-28,377.0,394.0,376.75,392.25,126741,
2010-07-29,392.0,399.5,390.0,395.5,131212,
2010-07-30,395.5,407.0,394.75,406.75,151916,
2010-08-02,407.0,418.0,403.25,405.0,172516,
2010-08-03,405.0,408.75,399.25,402.5,108108,
2010-08-04,402.25,416.5,401.75,414.25,134183,
2010-08-05,414.25,438.75,410.0,416.75,264880,
2010-08-06,416.5,423.0,407.5,418.25,118803,
2010-08-09,418.25,425.75,416.0,417.5,141640,
2010-08-10,417.5,417.75,408.0,411.5,115033,
2010-08-11,411.5,415.75,405.75,410.25,150693,
2010-08-12,410.25,429.5,410.25,424.5,220355,
2010-08-13,424.75,432.5,424.0,426.5,95693,
2010-08-16,425.25,433.0,421.0,424.25,119969,
2010-08-17,424.25,431.5,421.5,430.5,161572,
2010-08-18,430.25,434.25,423.5,432.75,142078,
2010-08-19,432.75,438.5,426.0,427.25,161584,
2010-08-20,427.5,437.25,424.0,436.75,134288,
2010-08-23,436.25,437.5,428.5,428.75,88995,
2010-08-24,428.75,429.75,415.25,419.0,163394,
2010-08-25,419.0,424.0,415.5,421.75,115454,
2010-08-26,422.0,435.0,421.0,433.75,153769,
2010-08-27,433.75,440.75,433.25,436.25,154044,
2010-08-30,442.5,445.25,431.75,435.25,161251,
2010-08-31,435.25,444.75,434.75,439.5,160810,
2010-09-01,439.25,447.25,439.0,446.75,126665,
2010-09-02,446.75,447.75,440.0,447.0,99645,
2010-09-03,446.75,467.0,445.5,465.5,283328,
2010-09-06,464.0,473.75,459.5,462.0,17362,
2010-09-07,447.25,452.0,443.25,450.0,15039,
2010-09-08,465.0,468.25,461.75,462.75,132321,
2010-09-09,462.75,472.0,459.5,469.25,177834,
2010-09-10,469.5,479.5,467.25,478.5,196753,
2010-09-14,468.25,481.75,466.25,476.75,2475,
2010-09-15,495.0,498.5,491.75,495.25,135218,
2010-09-16,495.0,500.75,489.5,500.25,151275,
2010-09-17,500.25,517.25,500.25,512.75,234099,
2010-09-20,521.0,523.75,504.25,504.5,202998,
2010-09-21,504.5,517.25,503.5,507.0,165827,
2010-09-22,506.75,512.0,500.25,504.0,168958,
2010-09-23,503.75,504.5,494.75,497.0,174546,
2010-09-24,497.0,523.5,496.5,521.5,183530,
2010-09-27,525.25,528.75,510.5,511.5,143274,
2010-09-28,511.5,513.5,498.0,498.5,139788,
2010-09-29,498.25,506.0,483.75,505.5,189738,
2010-09-30,505.5,508.25,478.25,491.0,282021,
2010-10-01,491.0,492.25,465.75,466.5,274795,
2010-10-04,459.75,473.75,454.5,471.5,179245,
2010-10-05,471.25,494.0,464.75,493.75,191378,
2010-10-06,493.75,496.25,487.25,490.25,121037,
2010-10-07,490.0,502.5,490.0,499.75,189415,
2010-10-08,499.75,528.25,495.75,528.25,71882,
2010-10-11,572.5,573.25,554.5,559.25,231285,
2010-10-12,559.0,584.5,554.5,581.0,262601,
2010-10-13,581.0,588.0,565.5,570.0,226265,
2010-10-14,570.25,579.75,565.75,572.5,171492,
2010-10-15,572.25,575.0,562.0,562.25,139654,
2010-10-18,559.75,563.0,553.0,558.5,125727,
2010-10-19,558.5,562.0,542.75,545.5,207035,
2010-10-20,545.25,579.25,544.0,578.75,208038,
2010-10-21,578.75,579.5,561.75,566.25,164114,
2010-10-22,566.0,571.0,559.5,559.75,122950,
2010-10-25,567.0,575.5,564.25,566.75,126807,
2010-10-26,566.5,577.25,561.75,575.0,156404,
2010-10-27,575.0,579.0,561.5,576.75,152763,
2010-10-28,577.0,585.25,575.25,578.75,167363,
2010-10-29,578.5,583.0,571.0,581.75,108321,
2010-11-01,588.75,590.75,572.0,580.5,135557,
2010-11-02,580.5,583.0,572.25,576.75,152287,
2010-11-03,577.0,582.75,567.5,582.25,173985,
2010-11-04,582.0,595.75,581.75,590.25,161768,
2010-11-05,590.5,591.75,582.75,586.25,148625,
2010-11-08,587.5,592.0,584.5,585.75,147028,
2010-11-09,585.5,605.0,571.0,573.5,315196,
2010-11-10,575.0,580.25,563.5,566.75,205613,
2010-11-11,567.0,574.25,557.5,564.0,208524,
2010-11-12,564.0,566.5,534.0,534.0,239900,
2010-11-15,541.75,567.0,539.0,555.25,185940,
2010-11-16,555.0,556.25,525.5,527.5,234106,
2010-11-18,527.0,546.5,526.0,541.5,133408,
2010-11-19,542.75,548.25,518.5,522.0,177126,
2010-11-22,515.25,532.25,511.75,516.75,163750,
2010-11-23,518.5,531.5,506.25,528.75,173439,
2010-11-24,528.5,539.5,528.5,538.5,113557,
2010-11-26,540.0,543.5,530.75,537.25,65628,
2010-11-29,542.5,545.0,535.25,537.75,133788,
2010-11-30,539.0,541.0,529.0,530.25,46073,
2010-12-01,544.5,568.75,542.5,565.0,174223,
2010-12-02,564.5,568.0,555.0,555.75,140249,
2010-12-03,555.75,574.75,555.5,572.75,141156,
2010-12-06,573.5,575.25,562.5,567.5,108997,
