date,open,high,low,close,volume,suspicious_flag
2010-06-07,36.8,36.83,36.41,36.52,35897,
2010-06-08,36.53,36.92,36.47,36.7,34119,
2010-06-09,36.7,37.2,36.53,36.74,61212,
2010-06-10,36.78,37.12,36.63,36.83,38917,
2010-06-11,36.82,37.01,36.5,36.91,33117,
2010-06-14,37.08,37.59,37.07,37.32,38517,
2010-06-15,37.32,37.9,37.26,37.8,53921,
2010-06-16,37.81,38.22,37.78,38.06,30843,
2010-06-17,38.05,38.14,37.7,38.04,31617,
2010-06-18,38.04,38.3,37.86,37.95,34720,
2010-06-21,38.06,38.35,37.97,37.99,34441,
2010-06-22,37.99,38.15,37.78,37.82,25098,
2010-06-23,37.82,37.98,37.58,37.67,29975,
2010-06-24,37.69,37.77,37.07,37.24,28794,
2010-06-25,37.25,37.43,37.14,37.18,28362,
2010-06-28,37.18,37.43,36.79,36.88,25644,
2010-06-29,36.87,37.0,35.95,36.08,26162,
2010-06-30,36.08,36.64,35.86,36.21,12778,
2010-07-01,37.12,37.2,36.6,36.82,32454,
2010-07-02,36.81,37.22,36.7,36.77,20409,
2010-07-05,36.82,36.87,36.7,36.77,545,
2010-07-06,36.75,37.37,36.65,36.88,30950,
2010-07-07,36.88,37.78,36.78,37.67,31251,
2010-07-08,37.66,37.82,37.33,37.78,31009,
2010-07-09,37.77,38.38,37.59,38.17,31501,
2010-07-12,38.4,38.52,37.96,38.3,29012,
2010-07-13,38.33,39.13,38.11,38.82,36302,
2010-07-14,38.85,39.08,38.58,38.8,24975,
2010-07-15,38.8,39.41,38.69,39.35,31530,
2010-07-16,38.58,38.69,38.1,38.33,16122,
2010-07-19,38.87,39.11,38.6,38.73,31166,
2010-07-20,38.7,39.29,38.53,39.29,28570,
2010-07-21,39.26,39.36,39.0,39.0,24280,
2010-07-22,39.01,40.24,38.94,39.66,38253,
2010-07-23,39.69,39.96,39.5,39.94,27545,
2010-07-26,39.72,39.9,39.46,39.56,25439,
2010-07-27,39.59,39.69,39.23,39.34,31877,
2010-07-28,39.27,39.64,39.25,39.57,26282,
2010-07-29,39.56,40.09,39.49,40.0,36392,
2010-07-30,40.0,40.49,39.79,40.46,34992,
