date,open,high,low,close,volume,suspicious_flag
2010-06-07,276.3,280.9,274.8,278.3,16970,
2010-06-08,278.4,279.7,276.0,277.0,19232,
2010-06-09,277.0,287.6,276.9,286.5,35288,
2010-06-10,286.5,288.8,280.6,282.8,24666,
2010-06-11,282.8,289.5,281.7,289.2,15270,
2010-06-14,290.0,292.9,289.1,290.3,20537,
2010-06-15,290.0,292.4,285.5,286.7,15938,
2010-06-16,286.7,288.3,285.9,286.9,13984,
2010-06-17,287.0,288.9,285.0,286.5,16209,
2010-06-18,286.6,288.6,286.0,287.9,14270,
2010-06-21,289.2,292.8,286.2,289.7,29160,
2010-06-22,289.5,292.8,287.7,288.1,18215,
2010-06-23,288.4,291.0,287.9,290.1,15736,
2010-06-24,290.0,293.0,289.0,289.2,18246,
2010-06-25,289.6,290.7,288.5,289.0,14115,
2010-06-28,288.4,292.8,285.6,291.9,14345,
2010-06-29,291.8,294.8,288.7,290.5,11495,
2010-06-30,266.3,272.5,259.3,261.5,24140,
2010-07-01,261.4,262.8,256.7,261.5,19602,
2010-07-02,261.3,265.0,261.0,263.3,12541,
2010-07-05,262.6,263.3,260.5,262.1,511,
2010-07-06,262.0,266.3,261.6,262.5,13945,
2010-07-07,262.2,272.9,262.2,272.1,21119,
2010-07-08,293.9,303.7,291.9,298.7,14297,
2010-07-09,276.4,279.9,274.8,278.9,20047,
2010-07-12,278.5,280.9,275.5,277.3,18752,
2010-07-13,277.6,279.5,275.5,277.0,20602,
2010-07-14,277.0,281.3,276.3,279.6,15656,
2010-07-15,279.6,290.5,279.1,289.9,25772,
2010-07-16,289.9,292.1,287.0,290.2,16398,
2010-07-19,289.8,292.2,281.5,283.6,19374,
2010-07-20,283.6,285.9,280.5,282.4,14806,
2010-07-21,282.4,286.4,281.1,284.5,12623,
2010-07-22,284.1,286.9,280.7,282.3,19236,
2010-07-23,282.1,285.7,281.4,283.6,14004,
2010-07-26,281.2,283.0,275.8,277.0,19434,
2010-07-27,277.3,280.5,276.3,279.0,13825,
2010-07-28,279.0,286.4,278.7,284.9,17877,
2010-07-29,285.5,288.1,284.7,287.3,17943,
2010-07-30,287.3,291.8,286.9,291.1,19726,
2010-08-02,290.8,296.7,288.6,289.3,23231,
2010-08-03,289.1,291.9,285.3,290.2,19843,
2010-08-04,290.3,294.4,289.3,292.4,16482,
2010-08-05,292.4,303.0,288.5,295.4,30267,
2010-08-06,295.4,298.0,292.0,296.2,12976,
2010-08-09,296.8,298.9,294.1,294.5,16963,
2010-08-10,294.1,294.5,289.5,290.0,18693,
2010-08-11,290.1,291.4,286.9,287.5,18290,
2010-08-12,287.8,296.9,287.4,296.9,28153,
2010-08-13,296.8,298.8,294.6,296.1,20173,
2010-08-16,295.5,300.6,294.0,296.3,20157,
2010-08-17,296.2,300.9,294.2,300.2,17228,
2010-08-18,300.3,304.5,296.5,300.0,24013,
2010-08-19,300.0,302.4,293.1,294.0,28962,
2010-08-20,294.1,295.0,292.3,293.2,16740,
2010-08-23,294.1,296.0,291.6,294.0,15319,
2010-08-24,294.0,295.0,289.3,290.3,21103,
2010-08-25,290.6,293.5,288.4,292.8,17141,
2010-08-26,292.7,298.0,292.0,297.5,20343,
2010-08-27,297.6,301.5,296.3,300.1,23261,
2010-08-30,300.3,303.0,295.2,296.6,18709,
2010-08-31,296.5,302.9,294.3,296.2,28465,
2010-09-01,296.1,297.2,293.5,294.0,25161,
2010-09-02,293.9,296.6,292.6,296.3,14335,
2010-09-03,296.0,305.7,295.1,303.5,29644,
2010-09-06,303.0,304.2,302.0,302.9,577,
2010-09-07,302.9,307.0,301.0,306.3,23096,
2010-09-08,306.5,308.4,302.8,305.4,21142,
2010-09-09,305.4,305.5,300.6,301.4,19312,
2010-09-10,301.1,302.5,293.9,294.7,31281,
2010-09-13,292.3,296.3,291.6,293.3,25785,
2010-09-14,293.0,297.3,291.1,296.1,24324,
2010-09-15,296.1,298.6,295.3,297.7,16569,
