date,open,high,low,close,volume,suspicious_flag
2010-06-07,10.9,10.975,10.79,10.905,238.0,
2010-06-08,10.905,10.935,10.73,10.825,531.0,
2010-06-09,10.8,10.895,10.56,10.58,394.0,
2010-06-10,10.56,10.975,10.35,10.975,816.0,
2010-06-11,10.96,10.995,10.785,10.9,444.0,
2010-06-14,11.095,11.2,10.905,11.19,496.0,
2010-06-15,11.19,11.225,10.815,10.815,928.0,
2010-06-16,10.96,11.11,10.875,11.04,458.0,
2010-06-17,11.095,11.2,10.94,10.94,738.0,
2010-06-18,10.935,11.035,10.91,10.99,349.0,
2010-06-21,10.885,11.02,10.635,10.68,430.0,
2010-06-22,10.685,10.845,10.56,10.805,802.0,
2010-06-23,10.805,10.905,10.53,10.54,654.0,
2010-06-24,10.555,10.685,10.33,10.36,1353.0,
2010-06-25,10.31,10.44,10.185,10.26,1081.0,
2010-06-28,10.17,10.24,10.09,10.125,1498.0,
2010-06-29,10.14,10.16,9.845,10.015,2321.0,
2010-06-30,10.015,10.205,9.55,9.735,1853.0,
2010-07-01,9.745,9.91,9.7,9.835,441.0,
2010-07-02,9.835,9.855,9.63,9.765,359.0,
2010-07-05,9.8,9.835,9.77,9.835,11.0,
2010-07-06,9.88,10.055,9.77,9.88,546.0,
2010-07-07,9.885,10.19,9.88,10.14,334.0,
2010-07-08,10.175,10.19,9.96,10.0,705.0,
2010-07-09,10.005,10.02,9.645,9.99,620.0,
2010-07-12,9.9,10.09,9.78,9.785,319.0,
2010-07-13,9.815,9.98,9.72,9.885,1234.0,
2010-07-14,9.86,9.965,9.78,9.85,326.0,
2010-07-15,10.07,10.175,10.07,10.1,1872.0,
2010-07-16,10.12,10.22,10.045,10.145,283.0,
2010-07-19,10.125,10.345,10.125,10.28,382.0,
2010-07-20,10.3,10.385,10.15,10.205,337.0,
2010-07-21,9.935,10.065,9.91,10.02,353.0,
2010-07-22,10.045,10.39,9.995,10.29,639.0,
2010-07-23,10.29,10.37,10.135,10.28,556.0,
2010-07-26,10.295,10.39,9.92,9.995,792.0,
2010-07-27,9.99,10.095,9.745,9.995,1198.0,
2010-07-28,10.0,10.21,9.95,10.14,391.0,
2010-07-29,10.105,10.19,10.055,10.1,749.0,
2010-07-30,10.425,10.89,10.36,10.89,1237.0,
2010-08-02,11.0,11.32,10.9,10.995,1714.0,
2010-08-03,11.0,11.2,10.98,11.1,689.0,
2010-08-04,11.06,11.35,11.04,11.25,948.0,
2010-08-05,11.27,11.78,11.07,11.095,1404.0,
2010-08-06,11.1,11.2,10.82,10.845,403.0,
2010-08-09,10.365,10.52,10.24,10.385,473.0,
2010-08-10,10.355,10.585,10.21,10.585,1185.0,
2010-08-11,10.86,10.92,10.655,10.72,516.0,
2010-08-12,10.72,11.14,10.615,11.14,1275.0,
2010-08-13,11.145,11.345,11.1,11.28,1100.0,
2010-08-16,11.265,11.53,11.01,11.145,1167.0,
2010-08-17,11.145,11.275,11.08,11.165,687.0,
2010-08-18,11.15,11.15,10.825,10.985,818.0,
2010-08-19,11.02,11.2,10.94,11.095,732.0,
2010-08-20,11.1,11.2,11.05,11.2,724.0,
2010-08-23,11.23,11.71,11.225,11.7,2808.0,
2010-08-24,11.705,11.75,11.42,11.565,1802.0,
