date,open,high,low,close,volume,suspicious_flag
2010-06-07,932.5,939.0,928.25,932.75,54950,
2010-06-08,932.75,937.5,926.0,927.75,59463,
2010-06-09,928.25,951.75,926.25,945.0,87263,
2010-06-10,945.75,952.0,930.5,934.5,76961,
2010-06-11,934.75,947.0,929.75,945.0,46197,
2010-06-14,948.5,958.75,946.25,951.0,56741,
2010-06-15,950.5,961.75,947.25,952.25,47566,
2010-06-16,952.25,961.75,951.75,957.75,38551,
2010-06-17,958.0,964.0,950.5,955.0,44846,
2010-06-18,955.0,961.25,952.5,960.25,41543,
2010-06-21,935.0,947.5,935.0,936.75,52417,
2010-06-22,936.5,942.0,927.25,929.0,42801,
2010-06-23,928.5,935.75,921.5,924.75,51953,
2010-06-24,924.75,927.75,910.75,913.5,58949,
2010-06-25,913.5,919.75,911.75,914.25,37610,
2010-06-28,911.25,924.75,908.25,919.75,57605,
2010-06-29,919.75,924.0,906.75,911.5,62945,
2010-06-30,911.75,928.75,898.25,906.5,77246,
2010-07-01,906.0,909.0,894.0,903.75,53357,
2010-07-02,904.0,913.0,903.5,907.5,38020,
2010-07-05,904.75,904.75,899.75,902.0,1708,
2010-07-06,961.75,977.0,960.5,967.5,1995,
2010-07-07,902.5,935.75,901.75,934.5,76083,
2010-07-08,934.25,956.25,927.5,944.5,84722,
2010-07-09,944.75,958.75,939.75,954.5,70322,
2010-07-12,954.25,961.0,945.0,951.75,70747,
2010-07-13,951.75,962.5,946.5,956.25,71476,
2010-07-14,956.25,967.0,952.75,961.0,58552,
2010-07-15,961.0,989.75,958.0,988.25,96806,
2010-07-16,988.25,992.75,978.25,987.25,70877,
2010-07-19,981.25,986.75,967.25,970.0,71975,
2010-07-20,969.75,976.25,962.75,975.0,55191,
2010-07-21,975.0,983.0,969.0,977.0,51949,
2010-07-22,976.75,991.0,972.25,978.75,56991,
2010-07-23,978.5,986.75,975.75,983.5,40610,
2010-07-26,976.5,981.75,961.0,965.5,56614,
2010-07-27,965.75,973.25,962.25,966.0,43690,
2010-07-28,965.75,982.5,965.25,981.25,55796,
2010-07-29,981.0,990.25,980.25,989.75,57943,
2010-07-30,989.75,1007.0,989.25,1005.5,68226,
2010-08-02,1007.5,1029.75,1005.5,1007.25,79108,
2010-08-03,1007.25,1018.5,997.75,1016.75,70429,
2010-08-04,1016.75,1029.5,1012.75,1025.5,69127,
2010-08-05,1025.5,1049.25,1011.0,1025.75,95938,
2010-08-06,1025.75,1035.25,1019.5,1034.5,59923,
2010-08-09,1035.75,1044.75,1032.0,1032.75,59260,
2010-08-10,1033.0,1034.0,1020.5,1024.0,58775,
2010-08-11,1024.0,1029.0,1013.75,1015.75,51829,
2010-08-12,1016.0,1038.0,1011.5,1033.0,77609,
2010-08-13,1033.25,1044.75,1031.0,1044.25,54495,
2010-08-16,1042.25,1048.5,1027.25,1032.0,58788,
2010-08-17,1032.0,1044.25,1028.75,1043.75,46395,
2010-08-18,1043.5,1046.75,1023.5,1032.5,64673,
2010-08-19,1032.5,1039.25,1006.75,1011.25,76797,
2010-08-20,1011.0,1015.0,1000.5,1003.25,48285,
2010-08-23,1007.5,1010.75,998.5,1005.0,45602,
2010-08-24,1005.0,1008.25,993.75,1000.25,53129,
2010-08-25,1001.0,1005.75,993.25,1002.5,46416,
2010-08-26,1002.25,1016.75,1001.5,1015.5,51403,
2010-08-27,1015.25,1029.5,1014.0,1027.75,51073,
2010-08-30,1030.0,1034.0,1010.75,1015.0,49744,
2010-08-31,1014.5,1027.0,1006.75,1010.0,61260,
2010-09-01,1010.0,1017.5,1004.0,1004.5,55093,
2010-09-02,1004.5,1012.75,1000.75,1012.0,49888,
2010-09-03,1011.25,1041.25,1009.0,1036.0,80300,
2010-09-06,1035.0,1038.25,1032.5,1035.0,2637,
2010-09-07,1031.25,1044.0,1024.75,1043.5,715,
2010-09-08,1051.5,1057.0,1045.0,1051.75,55783,
2010-09-09,1052.0,1052.75,1033.75,1043.75,47917,
2010-09-10,1043.75,1047.5,1031.0,1032.75,62043,
2010-09-14,1026.75,1030.5,1018.0,1024.75,303,
2010-09-15,1035.75,1045.0,1035.25,1044.25,49754,
2010-09-16,1044.25,1046.5,1033.0,1040.0,46040,
2010-09-17,1040.0,1072.0,1039.75,1069.5,94219,
2010-09-20,1081.75,1099.5,1081.5,1083.5,93165,
2010-09-21,1084.0,1093.75,1079.25,1084.75,67689,
2010-09-22,1084.75,1092.75,1081.75,1090.0,54277,
2010-09-23,1089.75,1098.25,1079.5,1090.25,67710,
2010-09-24,1090.25,1128.25,1090.0,1124.25,101487,
2010-09-27,1143.0,1144.0,1122.0,1126.0,81955,
2010-09-28,1125.75,1135.5,1105.5,1107.25,69088,
