date,open,high,low,close,volume,suspicious_flag
2010-06-07,435.5,438.5,431.25,433.0,43529,
2010-06-08,433.0,436.5,426.5,432.0,52701,
2010-06-09,432.0,436.0,425.5,427.25,56476,
2010-06-10,427.0,437.5,427.0,433.75,58640,
2010-06-11,433.75,449.0,427.5,440.25,86514,
2010-06-14,447.0,454.75,443.75,450.5,65411,
2010-06-15,450.5,456.25,445.25,451.5,36976,
2010-06-16,451.75,468.0,451.5,460.75,62880,
2010-06-17,460.5,465.5,453.5,462.75,50036,
2010-06-18,462.5,470.0,458.75,460.0,46598,
2010-06-21,463.5,470.0,455.25,458.5,39701,
2010-06-22,458.75,463.75,455.75,459.5,26421,
2010-06-23,459.5,468.5,458.25,462.5,36238,
2010-06-24,463.0,470.0,461.0,462.75,30639,
2010-06-25,462.75,464.75,455.25,455.75,21298,
2010-06-28,466.5,469.75,459.5,462.75,52158,
2010-06-29,462.5,462.75,455.0,458.0,40018,
2010-06-30,457.75,492.75,457.0,479.25,78788,
2010-07-01,479.25,504.0,475.5,497.0,74214,
2010-07-02,497.25,508.0,496.0,502.5,48592,
2010-07-05,500.0,504.5,500.0,504.25,1393,
2010-07-06,504.5,526.0,504.0,507.25,58204,
2010-07-07,507.0,532.25,506.0,530.0,73697,
2010-07-08,530.25,549.25,524.5,545.0,65484,
2010-07-09,545.0,545.0,532.5,537.5,49787,
2010-07-12,536.5,541.75,533.25,534.0,37626,
2010-07-13,533.25,551.75,530.75,549.25,53688,
2010-07-14,549.0,566.0,545.25,556.75,59118,
2010-07-15,556.25,598.5,555.5,597.0,94308,
2010-07-16,597.0,597.5,578.75,588.5,63442,
2010-07-19,593.5,597.75,575.25,577.25,48892,
2010-07-20,577.25,580.75,572.75,575.75,35836,
2010-07-21,575.5,594.0,574.0,586.0,49637,
2010-07-22,586.0,610.0,583.75,593.75,57145,
2010-07-23,593.5,603.75,593.5,596.0,33917,
2010-07-26,591.75,595.25,584.5,585.5,28702,
2010-07-27,585.75,604.0,581.5,592.25,50551,
2010-07-28,592.25,623.25,592.25,616.0,61497,
2010-07-29,615.75,635.0,615.75,634.5,56446,
2010-07-30,634.0,663.0,631.0,660.0,73121,
2010-08-02,662.25,711.25,661.75,692.0,110573,
2010-08-03,692.0,697.5,674.75,679.25,65101,
2010-08-04,679.25,732.0,678.25,726.5,88269,
2010-08-05,726.25,826.75,724.5,816.0,95878,
2010-08-06,815.75,841.0,725.75,727.0,92300,
2010-08-09,693.0,738.25,686.75,710.0,110045,
2010-08-10,710.0,718.25,690.0,705.0,97292,
2010-08-11,705.0,709.75,680.5,693.0,82779,
2010-08-12,692.75,734.5,692.0,718.0,73556,
2010-08-13,718.0,725.0,700.25,701.25,38913,
2010-08-16,725.75,740.75,687.5,698.75,83937,
2010-08-17,698.75,709.0,682.25,688.5,76154,
2010-08-18,688.5,698.0,677.5,693.25,56121,
2010-08-19,694.0,732.0,693.0,724.25,72237,
2010-08-20,724.25,729.0,703.0,711.75,35920,
2010-08-23,713.0,729.75,712.25,723.0,36355,
2010-08-24,722.0,723.0,700.0,704.5,58542,
2010-08-25,704.5,716.25,679.25,686.0,69659,
2010-08-26,686.0,698.0,685.0,694.0,42871,
2010-08-27,694.25,705.75,687.0,692.75,42618,
2010-08-30,705.0,728.75,696.5,702.25,65301,
2010-08-31,702.0,714.0,683.25,689.5,57647,
2010-09-01,689.25,712.0,688.5,708.25,51529,
2010-09-02,708.25,723.0,707.0,715.0,39536,
2010-09-03,714.75,742.0,714.0,740.75,47278,
2010-09-06,741.25,748.5,736.5,741.5,4722,
2010-09-07,741.25,746.75,727.0,733.0,35749,
2010-09-08,733.0,735.25,708.5,714.0,48932,
2010-09-09,714.0,743.0,706.0,734.75,49641,
2010-09-10,734.25,744.25,717.0,738.0,51996,
2010-09-13,735.25,754.5,735.0,747.75,36500,
2010-09-14,746.5,751.0,730.5,737.25,42992,
2010-09-15,737.25,744.25,723.0,729.25,43496,
2010-09-16,729.75,737.75,711.5,725.0,43425,
2010-09-17,725.0,743.0,724.75,738.0,39644,
2010-09-20,745.0,757.0,726.75,727.75,37052,
2010-09-21,727.25,734.0,716.5,723.5,36278,
2010-09-22,723.75,732.0,713.5,716.0,36879,
2010-09-23,716.0,717.25,693.0,698.0,51632,
2010-09-24,698.0,723.0,698.0,720.0,48951,
2010-09-27,728.5,731.0,699.0,702.0,36041,
2010-09-28,702.0,707.75,683.5,685.5,45029,
2010-09-29,685.5,688.25,663.25,682.75,53570,
2010-09-30,682.75,684.75,650.75,675.0,72680,
2010-10-01,675.0,678.25,646.5,653.75,53546,
2010-10-04,654.0,655.75,643.5,648.5,35480,
2010-10-05,648.0,667.75,644.0,666.75,46180,
2010-10-06,666.75,673.25,655.0,660.0,26187,
2010-10-07,660.75,676.25,656.5,662.0,35797,
2010-10-08,662.5,719.25,657.0,719.25,39995,
2010-10-11,725.5,733.0,703.0,709.25,50425,
2010-10-12,709.25,719.75,703.0,712.75,42522,
2010-10-13,712.75,722.25,695.0,706.75,49901,
2010-10-14,706.75,712.25,697.5,705.5,39886,
2010-10-15,705.75,713.75,695.0,703.0,47113,
2010-10-18,707.0,709.0,687.25,693.5,40173,
2010-10-19,693.25,696.5,668.25,674.5,47846,
2010-10-20,674.5,692.25,674.0,692.25,35454,
2010-10-21,692.0,692.25,667.0,671.0,30499,
2010-10-22,670.75,676.0,665.0,669.75,28204,
2010-10-25,676.0,686.0,670.0,675.5,33285,
2010-10-26,675.75,701.0,670.5,700.0,57646,
2010-10-27,700.0,707.5,684.25,704.25,48184,
2010-10-28,704.5,721.75,701.25,718.75,57047,
2010-10-29,718.75,725.0,711.25,716.25,51406,
2010-11-01,727.5,728.0,701.25,706.5,55188,
2010-11-02,706.5,712.25,692.5,695.75,59095,
2010-11-03,695.75,699.5,680.5,694.75,52154,
2010-11-04,694.75,723.0,692.75,720.25,56369,
2010-11-05,720.75,731.5,705.0,729.5,59614,
2010-11-08,730.0,739.0,721.0,737.0,63037,
2010-11-09,737.5,760.75,717.25,720.25,85156,
2010-11-10,721.25,723.5,695.0,708.25,64224,
2010-11-11,707.25,723.0,701.75,703.5,70111,
2010-11-12,704.25,710.75,661.25,669.0,99238,
2010-11-15,673.5,685.0,667.5,669.75,57247,
2010-11-16,671.0,674.0,624.25,626.5,89164,
2010-11-17,627.5,647.0,617.75,633.25,71953,
2010-11-18,633.75,657.25,633.25,645.5,33295,
2010-11-19,649.75,657.75,636.25,643.0,42929,
2010-11-22,643.75,653.0,639.0,645.5,27452,
2010-11-23,647.25,652.25,634.5,639.5,32767,
2010-11-24,645.0,656.0,642.25,647.75,23902,
2010-11-26,647.5,654.25,645.5,646.75,25087,
2010-11-29,649.25,662.0,647.0,650.25,44666,
2010-11-30,651.25,657.25,645.0,649.0,16638,
2010-12-01,693.0,745.0,691.0,738.75,73271,
2010-12-02,734.5,767.5,732.5,749.0,67858,
2010-12-03,748.25,782.0,747.25,780.0,61419,
2010-12-06,786.0,798.75,774.25,794.0,69555,
2010-12-07,795.75,811.0,777.0,783.0,66619,
2010-12-08,780.5,792.5,766.25,784.25,57163,
2010-12-09,786.25,790.0,779.75,788.25,39558,
2010-12-10,789.0,798.0,774.0,775.25,43938,
2010-12-13,774.0,787.0,766.5,780.5,38985,
2010-12-14,780.0,781.75,754.5,761.0,44584,
2010-12-15,761.0,776.5,759.75,764.25,39231,
2010-12-16,764.0,766.75,746.0,749.5,30107,
2010-12-17,752.75,758.0,742.0,757.25,22982,
2010-12-20,760.5,776.5,759.5,769.75,24853,
2010-12-21,770.75,772.0,762.0,765.5,22322,
2010-12-22,766.0,785.25,756.0,784.5,31580,
2010-12-23,785.0,788.25,776.0,782.5,19396,
2010-12-27,775.0,783.75,766.0,780.0,11806,
2010-12-28,780.0,802.0,779.5,799.0,22379,
2010-12-29,800.0,806.25,782.25,798.25,24777,
2010-12-30,799.0,799.0,776.5,785.25,27408,
2010-12-31,786.5,796.25,780.5,792.5,18041,
2011-01-03,793.5,825.0,792.75,805.0,39922,
2011-01-04,803.5,808.75,783.25,789.0,40728,
2011-01-05,794.25,810.25,776.0,809.75,42599,
2011-01-06,809.0,809.75,787.75,788.0,37157,
2011-01-07,789.0,794.0,772.0,773.75,41273,
2011-01-10,777.25,783.0,766.25,768.0,44688,
2011-01-11,769.75,776.75,758.25,759.0,39106,
2011-01-12,761.75,790.5,760.0,774.0,62380,
2011-01-13,776.75,787.5,769.25,781.5,50025,
2011-01-14,784.25,784.75,763.0,773.5,56349,
2011-01-18,777.5,795.75,773.5,793.0,43499,
2011-01-19,792.5,808.0,792.5,798.75,49489,
2011-01-20,798.0,805.75,782.0,803.0,46985,
2011-01-21,805.0,830.0,798.75,824.5,67736,
2011-01-24,826.75,839.5,823.25,836.25,52398,
2011-01-25,835.25,839.25,820.75,838.5,61070,
2011-01-26,839.0,861.25,839.0,857.25,46913,
2011-01-27,859.0,863.5,845.5,846.75,44442,
2011-01-28,848.0,849.75,824.5,825.0,56728,
2011-01-31,824.0,847.75,823.0,839.25,51194,
2011-02-01,844.5,845.0,831.5,835.25,50425,
2011-02-02,836.0,864.5,835.5,861.25,58728,
2011-02-03,862.5,872.75,846.0,858.5,59518,
2011-02-04,859.25,864.75,842.5,853.5,48653,
2011-02-07,861.0,869.5,851.5,858.75,58809,
2011-02-08,859.75,880.75,844.0,874.75,90501,
2011-02-09,876.0,893.25,875.25,887.5,66791,
2011-02-10,886.0,886.0,861.25,862.75,71267,
2011-02-11,865.0,871.25,855.5,868.0,56247,
2011-02-14,876.5,884.75,869.5,872.75,49832,
2011-02-15,873.0,874.0,830.5,840.5,92098,
2011-02-16,843.75,849.25,825.5,836.75,57848,
2011-02-17,837.75,853.5,837.75,851.0,53302,
2011-02-18,851.25,852.75,817.25,822.5,55319,
2011-02-22,825.0,835.5,762.25,762.25,68312,
2011-02-23,758.75,767.75,723.0,762.5,56283,
2011-02-24,799.0,804.5,776.5,781.0,62732,
2011-02-25,784.25,830.0,783.25,813.0,85414,
2011-02-28,819.5,823.0,798.75,816.25,46400,
2011-03-01,819.5,823.25,797.25,811.25,56695,
2011-03-02,809.75,832.75,796.25,810.5,60708,
2011-03-03,810.25,826.5,804.5,823.5,44514,
2011-03-04,822.0,837.5,813.75,832.25,47103,
2011-03-07,833.25,833.75,798.25,800.5,49132,
2011-03-08,801.0,803.25,778.25,781.0,52729,
2011-03-09,782.0,789.5,749.25,759.5,66549,
2011-03-10,762.75,765.75,733.75,739.25,58319,
2011-03-11,737.25,740.5,703.75,717.0,51749,
2011-03-14,712.0,730.0,706.0,722.0,37591,
2011-03-15,722.0,723.5,661.0,679.5,80547,
2011-03-16,680.0,697.5,656.0,671.25,77650,
2011-03-17,670.75,718.75,667.0,716.0,54989,
2011-03-18,716.0,749.0,714.25,724.5,58544,
2011-03-21,737.75,738.5,716.75,718.5,39730,
2011-03-22,718.5,730.25,705.25,726.5,42018,
2011-03-23,726.5,729.25,706.0,713.0,33252,
2011-03-24,713.25,744.0,710.0,742.75,51834,
2011-03-25,743.0,753.25,726.5,734.25,43974,
2011-03-28,739.75,739.75,721.0,722.25,31645,
2011-03-29,722.25,742.0,722.0,739.0,44304,
2011-03-30,739.0,741.75,723.0,727.0,38981,
2011-03-31,726.75,773.5,716.25,760.0,58059,
2011-04-01,760.0,774.0,744.75,760.5,57649,
2011-04-04,766.75,793.0,766.25,789.75,51500,
2011-04-05,789.25,798.25,778.5,784.5,63349,
2011-04-06,784.5,792.5,776.0,778.5,43832,
2011-04-07,778.5,793.0,754.75,775.5,67389,
2011-04-08,774.75,802.25,765.75,799.5,67275,
2011-04-11,807.25,809.25,786.25,800.25,56052,
2011-04-12,800.0,800.5,750.5,757.5,75692,
2011-04-13,757.5,769.5,741.25,758.0,71726,
2011-04-14,758.0,758.75,733.25,746.0,46345,
2011-04-15,746.0,748.75,730.0,745.0,52905,
2011-04-18,747.0,782.5,740.5,780.0,45552,
2011-04-19,780.0,794.0,774.75,789.75,35778,
2011-04-20,825.0,843.75,816.25,824.0,53309,
2011-04-21,824.0,835.5,815.5,834.5,53124,
2011-04-25,814.0,830.0,810.5,827.0,23133,
2011-04-26,862.5,862.75,833.75,851.0,58195,
2011-04-27,850.75,853.0,800.25,818.25,75333,
2011-04-28,817.75,820.5,766.0,770.0,88187,
2011-04-29,770.0,806.25,768.0,804.0,47208,
2011-05-02,801.5,824.5,789.0,797.0,46461,
2011-05-03,795.0,800.0,778.0,793.0,38369,
2011-05-04,793.0,794.5,767.75,772.0,40509,
2011-05-05,772.25,780.75,748.5,752.5,54102,
2011-05-06,752.5,778.5,740.0,755.0,58401,
2011-05-09,774.5,797.75,769.0,792.25,52774,
2011-05-10,792.5,816.5,792.5,800.0,54951,
2011-05-11,800.0,804.5,755.5,759.25,57934,
